pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k63.r_0.1.S_prophasm.k_15.d_na.t_index	escherichia_coli.k63	0.1	15_bwa	prophasm	15	na	index	0	406.52	9.79	395.21	99%	3015516	60680	5874976	406.526626
escherichia_coli.k63.r_0.1.S_prophasm.k_23.d_na.t_index	escherichia_coli.k63	0.1	15_bwa	prophasm	23	na	index	0	2721.00	63.41	2646.32	99%	11884324	8923344	27254720	2721.005792
escherichia_coli.k63.r_0.1.S_prophasm.k_31.d_na.t_index	escherichia_coli.k63	0.1	15_bwa	prophasm	31	na	index	0	4273.43	57.83	4205.88	99%	13893220	48	36037376	4273.439881
escherichia_coli.k63.r_1.0.S_prophasm.k_15.d_na.t_index	escherichia_coli.k63	1.0	15_bwa	prophasm	15	na	index	0	741.73	16.14	722.69	99%	3319108	560	7956504	741.738154
escherichia_coli.k63.r_1.0.S_prophasm.k_23.d_na.t_index	escherichia_coli.k63	1.0	15_bwa	prophasm	23	na	index	0	1472.89	13.38	1455.82	99%	2531528	120800	10665640	1472.899894
escherichia_coli.k63.r_1.0.S_prophasm.k_31.d_na.t_index	escherichia_coli.k63	1.0	15_bwa	prophasm	31	na	index	0	1601.48	14.06	1583.03	99%	2608608	288	11568168	1601.485692
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_index	sars-cov-2_pangenome_k32	0.1	15_bwa	prophasm	15	na	index	0	2.36	0.12	2.19	98%	79032	8	83864	2.365249
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_index	sars-cov-2_pangenome_k32	0.1	15_bwa	prophasm	23	na	index	0	7.52	0.31	7.13	98%	176708	8	173672	7.528527
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_index	sars-cov-2_pangenome_k32	0.1	15_bwa	prophasm	31	na	index	0	17.50	0.40	16.98	99%	129592	8	289376	17.510643
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_index	sars-cov-2_pangenome_k32	1.0	15_bwa	prophasm	15	na	index	0	3.64	0.11	3.48	98%	96052	8	84704	3.651705
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_index	sars-cov-2_pangenome_k32	1.0	15_bwa	prophasm	23	na	index	0	6.64	0.19	6.29	97%	168396	24	117664	6.651515
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_index	sars-cov-2_pangenome_k32	1.0	15_bwa	prophasm	31	na	index	0	10.43	0.32	10.02	99%	234264	8	156448	10.436337
spneumo_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_index	spneumo_pangenome_k32	0.1	15_bwa	prophasm	15	na	index	0	3.94	0.19	3.67	98%	94156	0	116424	3.945932
spneumo_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_index	spneumo_pangenome_k32	0.1	15_bwa	prophasm	23	na	index	0	7.92	0.30	7.56	99%	182736	0	179776	7.933741
spneumo_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_index	spneumo_pangenome_k32	0.1	15_bwa	prophasm	31	na	index	0	15.69	0.42	15.18	99%	118044	0	247520	15.695268
spneumo_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_index	spneumo_pangenome_k32	1.0	15_bwa	prophasm	15	na	index	0	4.03	0.12	3.87	99%	116612	0	83128	4.041492
spneumo_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_index	spneumo_pangenome_k32	1.0	15_bwa	prophasm	23	na	index	0	4.82	0.13	4.64	99%	128412	0	82760	4.826737
spneumo_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_index	spneumo_pangenome_k32	1.0	15_bwa	prophasm	31	na	index	0	5.78	0.14	5.60	99%	152736	8	95760	5.794412
