pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k63.r_0.1.S_prophasm.k_15.d_na.t_Neg	escherichia_coli.k63	0.1	16_bwa_query	prophasm	15	na	Neg	1000000	19.99	1.49	18.48	99%	3429344	0	0	19.998253
escherichia_coli.k63.r_0.1.S_prophasm.k_15.d_na.t_Pos	escherichia_coli.k63	0.1	16_bwa_query	prophasm	15	na	Pos	1000000	24.82	1.62	23.17	99%	3429344	128	0	24.830167
escherichia_coli.k63.r_0.1.S_prophasm.k_23.d_na.t_Neg	escherichia_coli.k63	0.1	16_bwa_query	prophasm	23	na	Neg	1000000	79.15	14.91	64.18	99%	14259800	62424	0	79.160941
escherichia_coli.k63.r_0.1.S_prophasm.k_23.d_na.t_Pos	escherichia_coli.k63	0.1	16_bwa_query	prophasm	23	na	Pos	1000000	81.95	18.54	63.34	99%	14259792	62304	0	81.961316
escherichia_coli.k63.r_0.1.S_prophasm.k_31.d_na.t_Neg	escherichia_coli.k63	0.1	16_bwa_query	prophasm	31	na	Neg	1000000	74.98	6.88	68.04	99%	17506944	0	0	74.993855
escherichia_coli.k63.r_0.1.S_prophasm.k_31.d_na.t_Pos	escherichia_coli.k63	0.1	16_bwa_query	prophasm	31	na	Pos	1000000	68.63	7.43	61.14	99%	17506944	0	0	68.640422
escherichia_coli.k63.r_1.0.S_prophasm.k_15.d_na.t_Neg	escherichia_coli.k63	1.0	16_bwa_query	prophasm	15	na	Neg	1000000	21.65	1.60	20.03	99%	4074556	0	0	21.663368
escherichia_coli.k63.r_1.0.S_prophasm.k_15.d_na.t_Pos	escherichia_coli.k63	1.0	16_bwa_query	prophasm	15	na	Pos	1000000	25.81	1.87	23.91	99%	4074556	96	0	25.81951
escherichia_coli.k63.r_1.0.S_prophasm.k_15.d_na.t_Str	escherichia_coli.k63	1.0	16_bwa_query	prophasm	15	na	Str	2860000	29.39	1.80	27.55	99%	4074560	0	0	29.40163
escherichia_coli.k63.r_1.0.S_prophasm.k_23.d_na.t_Neg	escherichia_coli.k63	1.0	16_bwa_query	prophasm	23	na	Neg	1000000	20.47	1.51	18.94	99%	4050040	0	0	20.481786
