pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k63.r_0.1.S_none.k_15.d_na.t_index	escherichia_coli.k63	0.1	21_cbl	none	15	na	index	0	46.03	1.01	44.98	99%	931564	0	355472	46.038593
escherichia_coli.k63.r_0.1.S_none.k_23.d_na.t_index	escherichia_coli.k63	0.1	21_cbl	none	23	na	index	0	128.54	2.18	126.26	99%	1321176	0	1162568	128.554957
escherichia_coli.k63.r_0.1.S_none.k_31.d_na.t_index	escherichia_coli.k63	0.1	21_cbl	none	31	na	index	0	164.82	4.16	160.53	99%	1745752	0	1784000	164.828702
escherichia_coli.k63.r_1.0.S_none.k_15.d_na.t_index	escherichia_coli.k63	1.0	21_cbl	none	15	na	index	0	1078.51	3.24	1074.61	99%	1453480	2496	1688280	1078.517121
escherichia_coli.k63.r_1.0.S_none.k_23.d_na.t_index	escherichia_coli.k63	1.0	21_cbl	none	23	na	index	0	1125.74	14.86	1109.79	99%	6442548	2256	9414584	1125.747065
escherichia_coli.k63.r_1.0.S_none.k_31.d_na.t_index	escherichia_coli.k63	1.0	21_cbl	none	31	na	index	0	1365.06	62.75	1300.03	99%	14486324	3159496	15792568	1365.065082
sars-cov-2_pangenome_k32.r_0.1.S_none.k_15.d_na.t_index	sars-cov-2_pangenome_k32	0.1	21_cbl	none	15	na	index	0	0.54	0.04	0.49	99%	50112	0	7976	0.546144
sars-cov-2_pangenome_k32.r_0.1.S_none.k_23.d_na.t_index	sars-cov-2_pangenome_k32	0.1	21_cbl	none	23	na	index	0	0.76	0.06	0.69	99%	54872	0	13560	0.765455
sars-cov-2_pangenome_k32.r_0.1.S_none.k_31.d_na.t_index	sars-cov-2_pangenome_k32	0.1	21_cbl	none	31	na	index	0	1.27	0.04	1.22	99%	56192	0	20136	1.279321
sars-cov-2_pangenome_k32.r_1.0.S_none.k_15.d_na.t_index	sars-cov-2_pangenome_k32	1.0	21_cbl	none	15	na	index	0	6.51	0.15	6.35	99%	188672	0	56840	6.521801
sars-cov-2_pangenome_k32.r_1.0.S_none.k_23.d_na.t_index	sars-cov-2_pangenome_k32	1.0	21_cbl	none	23	na	index	0	5.32	0.15	5.16	99%	175864	0	94920	5.332
sars-cov-2_pangenome_k32.r_1.0.S_none.k_31.d_na.t_index	sars-cov-2_pangenome_k32	1.0	21_cbl	none	31	na	index	0	6.25	0.42	5.81	99%	326740	0	155856	6.256951
spneumo_pangenome_k32.r_0.1.S_none.k_15.d_na.t_index	spneumo_pangenome_k32	0.1	21_cbl	none	15	na	index	0	0.66	0.03	0.62	99%	59900	0	10952	0.666314
spneumo_pangenome_k32.r_0.1.S_none.k_23.d_na.t_index	spneumo_pangenome_k32	0.1	21_cbl	none	23	na	index	0	0.97	0.03	0.94	99%	63756	0	15672	0.984074
spneumo_pangenome_k32.r_0.1.S_none.k_31.d_na.t_index	spneumo_pangenome_k32	0.1	21_cbl	none	31	na	index	0	1.10	0.07	1.02	99%	62816	0	20184	1.111539
spneumo_pangenome_k32.r_1.0.S_none.k_15.d_na.t_index	spneumo_pangenome_k32	1.0	21_cbl	none	15	na	index	0	6.49	0.27	6.21	99%	244792	0	76992	6.500557
spneumo_pangenome_k32.r_1.0.S_none.k_23.d_na.t_index	spneumo_pangenome_k32	1.0	21_cbl	none	23	na	index	0	5.72	0.27	5.44	99%	209176	0	106280	5.73238
spneumo_pangenome_k32.r_1.0.S_none.k_31.d_na.t_index	spneumo_pangenome_k32	1.0	21_cbl	none	31	na	index	0	3.98	0.18	3.80	99%	201560	0	145920	3.992737
