pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k63.r_0.1.S_none.k_15.d_na.t_Neg	escherichia_coli.k63	0.1	22_cbl_query	none	15	na	Neg	1000000	3.41	0.45	2.96	99%	930776	0	0	3.424786
escherichia_coli.k63.r_0.1.S_none.k_15.d_na.t_Pos	escherichia_coli.k63	0.1	22_cbl_query	none	15	na	Pos	1000000	3.48	0.45	3.02	99%	930776	0	0	3.495067
escherichia_coli.k63.r_0.1.S_none.k_23.d_na.t_Neg	escherichia_coli.k63	0.1	22_cbl_query	none	23	na	Neg	1000000	6.54	0.73	5.79	99%	1209460	0	0	6.547476
escherichia_coli.k63.r_0.1.S_none.k_23.d_na.t_Pos	escherichia_coli.k63	0.1	22_cbl_query	none	23	na	Pos	1000000	5.92	0.67	5.24	99%	1209460	0	0	5.931751
escherichia_coli.k63.r_0.1.S_none.k_31.d_na.t_Neg	escherichia_coli.k63	0.1	22_cbl_query	none	31	na	Neg	1000000	6.59	0.85	5.73	99%	1496980	0	0	6.59778
escherichia_coli.k63.r_0.1.S_none.k_31.d_na.t_Pos	escherichia_coli.k63	0.1	22_cbl_query	none	31	na	Pos	1000000	6.87	1.05	5.80	99%	1496980	0	0	6.876279
escherichia_coli.k63.r_1.0.S_none.k_15.d_na.t_Neg	escherichia_coli.k63	1.0	22_cbl_query	none	15	na	Neg	1000000	8.03	0.63	7.38	99%	1151280	46664	0	8.03965
escherichia_coli.k63.r_1.0.S_none.k_15.d_na.t_Pos	escherichia_coli.k63	1.0	22_cbl_query	none	15	na	Pos	1000000	8.29	0.68	7.59	99%	1151280	15072	0	8.298116
escherichia_coli.k63.r_1.0.S_none.k_15.d_na.t_Str	escherichia_coli.k63	1.0	22_cbl_query	none	15	na	Str	2860000	9.41	0.67	8.73	99%	1151280	0	0	9.419511
escherichia_coli.k63.r_1.0.S_none.k_23.d_na.t_Neg	escherichia_coli.k63	1.0	22_cbl_query	none	23	na	Neg	1000000	29.28	4.51	24.74	99%	4744032	0	0	29.29089
escherichia_coli.k63.r_1.0.S_none.k_23.d_na.t_Pos	escherichia_coli.k63	1.0	22_cbl_query	none	23	na	Pos	1000000	28.81	3.98	24.81	99%	4744032	0	0	28.824951
escherichia_coli.k63.r_1.0.S_none.k_23.d_na.t_Str	escherichia_coli.k63	1.0	22_cbl_query	none	23	na	Str	2780000	28.60	3.91	24.67	99%	4744032	0	0	28.613177
escherichia_coli.k63.r_1.0.S_none.k_31.d_na.t_Neg	escherichia_coli.k63	1.0	22_cbl_query	none	31	na	Neg	1000000	41.92	11.18	30.71	99%	11148548	344	0	41.934965
escherichia_coli.k63.r_1.0.S_none.k_31.d_na.t_Pos	escherichia_coli.k63	1.0	22_cbl_query	none	31	na	Pos	1000000	39.32	9.52	29.76	99%	11148548	0	0	39.326799
escherichia_coli.k63.r_1.0.S_none.k_31.d_na.t_Str	escherichia_coli.k63	1.0	22_cbl_query	none	31	na	Str	2700000	39.02	9.36	29.61	99%	11148552	0	0	39.025935
sars-cov-2_pangenome_k32.r_0.1.S_none.k_15.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	22_cbl_query	none	15	na	Neg	1000000	0.53	0.04	0.48	99%	49872	0	0	0.537652
sars-cov-2_pangenome_k32.r_0.1.S_none.k_15.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	22_cbl_query	none	15	na	Pos	1000000	0.72	0.04	0.67	99%	49872	0	0	0.733751
sars-cov-2_pangenome_k32.r_0.1.S_none.k_23.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	22_cbl_query	none	23	na	Neg	1000000	0.56	0.02	0.53	99%	54864	0	0	0.569129
