genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed: 9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	SSHash	eulertigs	15	na	21283496	156082550	sshash.ecoli_pangenome_661k_HQ.unitigs_k128.S_eulertigs.k_15.d_na	na	110.59	12683348	16.990000000000002	1254968	2.31	156252	Neg	1000000	127.58000000000001	12683348	2.31	58.73170460341666
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	SSHash	eulertigs	15	na	21283496	156082550	sshash.ecoli_pangenome_661k_HQ.unitigs_k128.S_eulertigs.k_15.d_na	na	110.59	12683348	16.990000000000002	1254968	2.2199999999999998	156244	Pos	1000000	127.58000000000001	12683348	2.2199999999999998	58.72869757863088
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	SSHash	eulertigs	15	na	21283496	156082550	sshash.ecoli_pangenome_661k_HQ.unitigs_k128.S_eulertigs.k_15.d_na	na	110.59	12683348	16.990000000000002	1254968	1.8900000000000001	156156	Str	999856	127.58000000000001	12683348	1.8902721991966844	58.695620305987326
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	cbl	none	15	na	21283496	125647452	cbl.ecoli_pangenome_661k_HQ.unitigs_k128.S_none.k_15.d_na	na	na	na	32.69	721732	3.4000000000000004	721320	Neg	1000000	32.69	721732	3.4000000000000004	271.12838980964403
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	cbl	none	15	na	21283496	125647452	cbl.ecoli_pangenome_661k_HQ.unitigs_k128.S_none.k_15.d_na	na	na	na	32.69	721732	2.65	721316	Pos	1000000	32.69	721732	2.65	271.1268862972512
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	cbl	none	15	na	21283496	125647452	cbl.ecoli_pangenome_661k_HQ.unitigs_k128.S_none.k_15.d_na	na	na	na	32.69	721732	2.16	721316	Str	999856	32.69	721732	2.160311084796211	271.1268862972512
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	fmsi	global	15	na	21283496	21715524	fmsi.ecoli_pangenome_661k_HQ.unitigs_k128.S_global.k_15.d_na	na	92.56	974816	17.29	960992	2.4299999999999997	25572	Neg	1000000	109.85	974816	2.4299999999999997	9.611954727738338
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	fmsi	global	15	na	21283496	21715524	fmsi.ecoli_pangenome_661k_HQ.unitigs_k128.S_global.k_15.d_na	na	92.56	974816	17.29	960992	2.69	25568	Pos	1000000	109.85	974816	2.69	9.61045121534545
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	fmsi	global	15	na	21283496	28921540	fmsi.ecoli_pangenome_661k_HQ.unitigs_k128.S_global.k_15.d_na	na	92.56	974816	17.29	960992	2.6	33060	Str	999856	109.85	974816	2.600374453921365	12.426529927226241
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	sbwt	none	15	0	21283496	63661112	sbwt.ecoli_pangenome_661k_HQ.unitigs_k128.S_none.k_15.d_0	na	na	na	662.8100000000001	8840024	1.57	91420	Neg	1000000	662.8100000000001	8840024	1.57	34.36277573947438
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	sbwt	none	15	0	21283496	63661112	sbwt.ecoli_pangenome_661k_HQ.unitigs_k128.S_none.k_15.d_0	na	na	na	662.8100000000001	8840024	1.6700000000000002	91420	Pos	1000000	662.8100000000001	8840024	1.6700000000000002	34.36277573947438
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	sbwt	none	15	0	21283496	78393416	sbwt.ecoli_pangenome_661k_HQ.unitigs_k128.S_none.k_15.d_0	na	na	na	662.8100000000001	8840024	0.6900000000000001	105792	Str	999856	662.8100000000001	8840024	0.6900993743099006	39.764895767123974
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	sbwt	none	15	1	21283496	36142762	sbwt.ecoli_pangenome_661k_HQ.unitigs_k128.S_none.k_15.d_1	na	na	na	349.24	4920156	14.18	64756	Neg	1000000	349.24	4920156	14.18	24.340362128477388
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	sbwt	none	15	1	21283496	36142762	sbwt.ecoli_pangenome_661k_HQ.unitigs_k128.S_none.k_15.d_1	na	na	na	349.24	4920156	14.22	64756	Pos	1000000	349.24	4920156	14.22	24.340362128477388
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	sbwt	none	15	1	21283496	44704762	sbwt.ecoli_pangenome_661k_HQ.unitigs_k128.S_none.k_15.d_1	na	na	na	349.24	4920156	7.88	73128	Str	999856	349.24	4920156	7.881134883423213	27.487213566793727
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	SSHash	eulertigs	23	na	44936055	440775022	sshash.ecoli_pangenome_661k_HQ.unitigs_k128.S_eulertigs.k_23.d_na	na	219.68	29149132	36.85	2015448	4.61	434280	Neg	1000000	256.53000000000003	29149132	4.61	77.31519823001818
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	SSHash	eulertigs	23	na	44936055	440775022	sshash.ecoli_pangenome_661k_HQ.unitigs_k128.S_eulertigs.k_23.d_na	na	219.68	29149132	36.85	2015448	3.5700000000000003	434272	Pos	1000000	256.53000000000003	29149132	3.5700000000000003	77.3137739839423
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	SSHash	eulertigs	23	na	44936055	440775022	sshash.ecoli_pangenome_661k_HQ.unitigs_k128.S_eulertigs.k_23.d_na	na	219.68	29149132	36.85	2015448	4.24	434272	Str	999966	256.53000000000003	29149132	4.240144164901607	77.3137739839423
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	cbl	none	23	na	44936055	277613577	cbl.ecoli_pangenome_661k_HQ.unitigs_k128.S_none.k_23.d_na	na	na	na	61.72	875800	5.11	863452	Neg	1000000	61.72	875800	5.11	153.72101534057674
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	cbl	none	23	na	44936055	277613577	cbl.ecoli_pangenome_661k_HQ.unitigs_k128.S_none.k_23.d_na	na	na	na	61.72	875800	3.6900000000000004	863448	Pos	1000000	61.72	875800	3.6900000000000004	153.7203032175388
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	cbl	none	23	na	44936055	277613577	cbl.ecoli_pangenome_661k_HQ.unitigs_k128.S_none.k_23.d_na	na	na	na	61.72	875800	4.220000000000001	863448	Str	999966	61.72	875800	4.220143484878487	153.7203032175388
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	fmsi	global	23	na	44936055	100383935	fmsi.ecoli_pangenome_661k_HQ.unitigs_k128.S_global.k_23.d_na	na	591.69	2046144	102.05	4973340	6.12	106528	Neg	1000000	693.74	4973340	6.12	18.965260746632076
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	fmsi	global	23	na	44936055	100383935	fmsi.ecoli_pangenome_661k_HQ.unitigs_k128.S_global.k_23.d_na	na	591.69	2046144	102.05	4973340	8.72	106528	Pos	1000000	693.74	4973340	8.72	18.965260746632076
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	fmsi	global	23	na	44936055	137800583	fmsi.ecoli_pangenome_661k_HQ.unitigs_k128.S_global.k_23.d_na	na	591.69	2046144	102.05	4973340	3.09	143068	Str	999966	693.74	4973340	3.090105063572161	25.470504698287378
ecoli_pangenome_661k_HQ.unitigs_k128	0.1	sbwt	none	23	0	44936055	438850744	sbwt.ecoli_pangenome_661k_HQ.unitigs_k128.S_none.k_23.d_0	na	na	na	3099.44	32662152	2.5300000000000002	457964	Neg	1000000	3099.44	32662152	2.5300000000000002	81.5316787377085
