genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed: 9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer
ecoli_pangenome_661k_all.unitigs_k128	0.1	SSHash	eulertigs	15	na	36962717	262280702	sshash.ecoli_pangenome_661k_all.unitigs_k128.S_eulertigs.k_15.d_na	na	204.23	20694300	28.93	1519684	2.79	259960	Neg	1000000	233.16	20694300	2.79	56.264262175315736
ecoli_pangenome_661k_all.unitigs_k128	0.1	SSHash	eulertigs	15	na	36962717	262280702	sshash.ecoli_pangenome_661k_all.unitigs_k128.S_eulertigs.k_15.d_na	na	204.23	20694300	28.93	1519684	2.29	259952	Pos	1000000	233.16	20694300	2.29	56.26253070086812
ecoli_pangenome_661k_all.unitigs_k128	0.1	SSHash	eulertigs	15	na	36962717	262280702	sshash.ecoli_pangenome_661k_all.unitigs_k128.S_eulertigs.k_15.d_na	na	204.23	20694300	28.93	1519684	1.98	259676	Str	999856	233.16	20694300	1.980285161063193	56.20279483242533
ecoli_pangenome_661k_all.unitigs_k128	0.1	cbl	none	15	na	36962717	182000891	cbl.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_na	na	na	na	45.86	931580	4.43	930808	Neg	1000000	45.86	931580	4.43	201.4587834546903
ecoli_pangenome_661k_all.unitigs_k128	0.1	cbl	none	15	na	36962717	182000891	cbl.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_na	na	na	na	45.86	931580	3.3400000000000003	930804	Pos	1000000	45.86	931580	3.3400000000000003	201.4579177174665
ecoli_pangenome_661k_all.unitigs_k128	0.1	cbl	none	15	na	36962717	182000891	cbl.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_na	na	na	na	45.86	931580	2.87	930804	Str	999856	45.86	931580	2.870413339520891	201.4579177174665
ecoli_pangenome_661k_all.unitigs_k128	0.1	fmsi	global	15	na	36962717	34423140	fmsi.ecoli_pangenome_661k_all.unitigs_k128.S_global.k_15.d_na	na	157.64000000000001	1707432	28.28	1507472	4.73	38860	Neg	1000000	185.92000000000002	1707432	4.73	8.410637129299776
ecoli_pangenome_661k_all.unitigs_k128	0.1	fmsi	global	15	na	36962717	34423140	fmsi.ecoli_pangenome_661k_all.unitigs_k128.S_global.k_15.d_na	na	157.64000000000001	1707432	28.28	1507472	3.32	38860	Pos	1000000	185.92000000000002	1707432	3.32	8.410637129299776
ecoli_pangenome_661k_all.unitigs_k128	0.1	fmsi	global	15	na	36962717	45743820	fmsi.ecoli_pangenome_661k_all.unitigs_k128.S_global.k_15.d_na	na	157.64000000000001	1707432	28.28	1507472	2.06	49740	Str	999856	185.92000000000002	1707432	2.060296682722312	10.765442378058951
ecoli_pangenome_661k_all.unitigs_k128	0.1	fmsi	local	15	1	36962717	140999896	fmsi.ecoli_pangenome_661k_all.unitigs_k128.S_local.k_15.d_1	na	126.49	552868	145.49	7039664	5.25	148100	Neg	1000000	271.98	7039664	5.25	32.053920711510465
ecoli_pangenome_661k_all.unitigs_k128	0.1	fmsi	local	15	1	36962717	140999896	fmsi.ecoli_pangenome_661k_all.unitigs_k128.S_local.k_15.d_1	na	126.49	552868	145.49	7039664	3.77	148100	Pos	1000000	271.98	7039664	3.77	32.053920711510465
ecoli_pangenome_661k_all.unitigs_k128	0.1	fmsi	local	15	1	36962717	193974696	fmsi.ecoli_pangenome_661k_all.unitigs_k128.S_local.k_15.d_1	na	126.49	552868	145.49	7039664	2.4499999999999997	199836	Str	999856	271.98	7039664	2.450352850810517	43.25136596424987
ecoli_pangenome_661k_all.unitigs_k128	0.1	sbwt	none	15	0	36962717	96114072	sbwt.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_0	na	na	na	1100.51	14701172	1.6600000000000001	123228	Neg	1000000	1100.51	14701172	1.6600000000000001	26.670766653869087
ecoli_pangenome_661k_all.unitigs_k128	0.1	sbwt	none	15	0	36962717	96114072	sbwt.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_0	na	na	na	1100.51	14701172	1.7	123228	Pos	1000000	1100.51	14701172	1.7	26.670766653869087
ecoli_pangenome_661k_all.unitigs_k128	0.1	sbwt	none	15	0	36962717	118482368	sbwt.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_0	na	na	na	1100.51	14701172	0.75	145052	Str	999856	1100.51	14701172	0.7501080155542398	31.394228946968372
ecoli_pangenome_661k_all.unitigs_k128	0.1	sbwt	none	15	1	36962717	56525954	sbwt.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_1	na	na	na	601.46	8142832	14.59	84688	Neg	1000000	601.46	8142832	14.59	18.329388502473993
ecoli_pangenome_661k_all.unitigs_k128	0.1	sbwt	none	15	1	36962717	56525954	sbwt.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_1	na	na	na	601.46	8142832	15.41	84688	Pos	1000000	601.46	8142832	15.41	18.329388502473993
ecoli_pangenome_661k_all.unitigs_k128	0.1	sbwt	none	15	1	36962717	69788490	sbwt.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_1	na	na	na	601.46	8142832	9.100000000000001	97648	Str	999856	601.46	8142832	9.101310588724777	21.1343771076136
ecoli_pangenome_661k_all.unitigs_k128	0.1	SSHash	eulertigs	23	na	117227291	1182946010	sshash.ecoli_pangenome_661k_all.unitigs_k128.S_eulertigs.k_23.d_na	na	675.72	75454456	138.8	5341164	6.82	1159076	Neg	1000000	814.52	75454456	6.82	79.09939674371559
ecoli_pangenome_661k_all.unitigs_k128	0.1	SSHash	eulertigs	23	na	117227291	1182946010	sshash.ecoli_pangenome_661k_all.unitigs_k128.S_eulertigs.k_23.d_na	na	675.72	75454456	138.8	5341164	3.66	1159068	Pos	1000000	814.52	75454456	3.66	79.0988507957588
ecoli_pangenome_661k_all.unitigs_k128	0.1	SSHash	eulertigs	23	na	117227291	1182946010	sshash.ecoli_pangenome_661k_all.unitigs_k128.S_eulertigs.k_23.d_na	na	675.72	75454456	138.8	5341164	3.5500000000000003	1159068	Str	999966	814.52	75454456	3.5501207041039398	79.0988507957588
ecoli_pangenome_661k_all.unitigs_k128	0.1	cbl	none	23	na	117227291	595232876	cbl.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_23.d_na	na	na	na	149.2	1320108	8.16	1209416	Neg	1000000	149.2	1320108	8.16	82.5347742617374
ecoli_pangenome_661k_all.unitigs_k128	0.1	cbl	none	23	na	117227291	595232876	cbl.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_23.d_na	na	na	na	149.2	1320108	7.67	1209412	Pos	1000000	149.2	1320108	7.669999999999999	82.53450128775901
