genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed: 9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer
human_genome_assembly_chm13.v2.0	0.1	SSHash	eulertigs	23	na	233724551	2371021734	sshash.human_genome_assembly_chm13.v2.0.S_eulertigs.k_23.d_na	na	1362.6299999999999	149297800	189.12	9501956	5.739999999999999	2319340	Neg	1000000	1551.75	149297800	5.739999999999999	79.38712437616363
human_genome_assembly_chm13.v2.0	0.1	SSHash	eulertigs	23	na	233724551	2371021734	sshash.human_genome_assembly_chm13.v2.0.S_eulertigs.k_23.d_na	na	1362.6299999999999	149297800	189.12	9501956	5.79	2319340	Pos	1000000	1551.75	149297800	5.79	79.38712437616363
human_genome_assembly_chm13.v2.0	0.1	SSHash	eulertigs	23	na	233724551	2371021734	sshash.human_genome_assembly_chm13.v2.0.S_eulertigs.k_23.d_na	na	1362.6299999999999	149297800	189.12	9501956	5.87	2319340	Str	999966	1551.75	149297800	5.870199586785951	79.38712437616363
human_genome_assembly_chm13.v2.0	0.1	cbl	none	23	na	233724551	1059439386	cbl.human_genome_assembly_chm13.v2.0.S_none.k_23.d_na	na	na	na	258.94	1896704	10.52	1595624	Neg	1000000	258.94	1896704	10.52	54.615537586378764
human_genome_assembly_chm13.v2.0	0.1	cbl	none	23	na	233724551	1059439386	cbl.human_genome_assembly_chm13.v2.0.S_none.k_23.d_na	na	na	na	258.94	1896704	8.64	1595624	Pos	1000000	258.94	1896704	8.64	54.615537586378764
human_genome_assembly_chm13.v2.0	0.1	cbl	none	23	na	233724551	1059439386	cbl.human_genome_assembly_chm13.v2.0.S_none.k_23.d_na	na	na	na	258.94	1896704	8.21	1595624	Str	999966	258.94	1896704	8.210279149491084	54.615537586378764
human_genome_assembly_chm13.v2.0	0.1	fmsi	global	23	na	233724551	477605640	fmsi.human_genome_assembly_chm13.v2.0.S_global.k_23.d_na	na	3523.06	10997820	488.72	23285928	9.44	491712	Neg	1000000	4011.7799999999997	23285928	9.44	16.830478369386192
human_genome_assembly_chm13.v2.0	0.1	fmsi	global	23	na	233724551	477605640	fmsi.human_genome_assembly_chm13.v2.0.S_global.k_23.d_na	na	3523.06	10997820	488.72	23285928	10.52	491716	Pos	1000000	4011.7799999999997	23285928	10.52	16.83061528268804
human_genome_assembly_chm13.v2.0	0.1	fmsi	global	23	na	233724551	652905336	fmsi.human_genome_assembly_chm13.v2.0.S_global.k_23.d_na	na	3523.06	10997820	488.72	23285928	5.319999999999999	662908	Str	999966	4011.7799999999997	23285928	5.320180886150129	22.690230775114422
human_genome_assembly_chm13.v2.0	0.1	sbwt	none	23	0	233724551	1956243000	sbwt.human_genome_assembly_chm13.v2.0.S_none.k_23.d_0	na	na	na	23796.11	138504424	3.25	1939772	Neg	1000000	23796.11	138504424	3.25	66.39514733734583
