genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed: 9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer
human_genome_illumina.unitigs_minfreq2_k32	1	SSHash	eulertigs	15	na	381385719	980090918	sshash.human_genome_illumina.unitigs_minfreq2_k32.S_eulertigs.k_15.d_na	na	4064.13	147310120	112.73	5520964	6.32	960944	Neg	1000000	4176.86	147310120	6.32	20.156895282174947
human_genome_illumina.unitigs_minfreq2_k32	1	SSHash	eulertigs	15	na	381385719	980090918	sshash.human_genome_illumina.unitigs_minfreq2_k32.S_eulertigs.k_15.d_na	na	4064.13	147310120	112.73	5520964	4.44	960940	Pos	1000000	4176.86	147310120	4.44	20.15681137761742
human_genome_illumina.unitigs_minfreq2_k32	1	SSHash	eulertigs	15	na	381385719	980090918	sshash.human_genome_illumina.unitigs_minfreq2_k32.S_eulertigs.k_15.d_na	na	4064.13	147310120	112.73	5520964	3.81	960944	Str	999856	4176.86	147310120	3.8105487190155385	20.156895282174947
human_genome_illumina.unitigs_minfreq2_k32	1	cbl	none	15	na	381385719	887910828	cbl.human_genome_illumina.unitigs_minfreq2_k32.S_none.k_15.d_na	na	na	na	2635.9900000000002	1460220	12.18	1169412	Neg	1000000	2635.9900000000002	1460220	12.18	24.52974910683533
human_genome_illumina.unitigs_minfreq2_k32	1	cbl	none	15	na	381385719	887910828	cbl.human_genome_illumina.unitigs_minfreq2_k32.S_none.k_15.d_na	na	na	na	2635.9900000000002	1460220	12.14	1169452	Pos	1000000	2635.9900000000002	1460220	12.14	24.530588152410605
human_genome_illumina.unitigs_minfreq2_k32	1	cbl	none	15	na	381385719	887910828	cbl.human_genome_illumina.unitigs_minfreq2_k32.S_none.k_15.d_na	na	na	na	2635.9900000000002	1460220	9.82	1169444	Str	999856	2635.9900000000002	1460220	9.821414283656846	24.53042034329555
human_genome_illumina.unitigs_minfreq2_k32	1	fmsi	global	15	na	381385719	125687304	fmsi.human_genome_illumina.unitigs_minfreq2_k32.S_global.k_15.d_na	na	1761.92	17270492	141.20000000000002	7111184	6.4799999999999995	133168	Neg	1000000	1903.1200000000001	17270492	6.4799999999999995	2.7933505292053162
human_genome_illumina.unitigs_minfreq2_k32	1	fmsi	global	15	na	381385719	125687304	fmsi.human_genome_illumina.unitigs_minfreq2_k32.S_global.k_15.d_na	na	1761.92	17270492	141.20000000000002	7111184	4	133180	Pos	1000000	1903.1200000000001	17270492	4	2.7936022428778986
human_genome_illumina.unitigs_minfreq2_k32	1	fmsi	global	15	na	381385719	179200688	fmsi.human_genome_illumina.unitigs_minfreq2_k32.S_global.k_15.d_na	na	1761.92	17270492	141.20000000000002	7111184	2.49	185476	Str	999856	1903.1200000000001	17270492	2.4903586116400764	3.89057042799235
human_genome_illumina.unitigs_minfreq2_k32	1	fmsi	local	15	1	381385719	214015360	fmsi.human_genome_illumina.unitigs_minfreq2_k32.S_local.k_15.d_1	na	1122.78	4394896	222.07	11022488	7.21	223020	Neg	1000000	1344.85	11022488	7.21	4.678098604945404
human_genome_illumina.unitigs_minfreq2_k32	1	fmsi	local	15	1	381385719	214015360	fmsi.human_genome_illumina.unitigs_minfreq2_k32.S_local.k_15.d_1	na	1122.78	4394896	222.07	11022488	3.7600000000000002	223068	Pos	1000000	1344.85	11022488	3.7600000000000002	4.679105459635735
