genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed: 9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	SSHash	eulertigs	15	na	19994182	147345664	sshash.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_eulertigs.k_15.d_na	na	106.77000000000001	12067724	17.12	1185528	2.5	147720	Neg	1000000	123.89000000000001	12067724	2.5	59.10519370084758
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	SSHash	eulertigs	15	na	19994182	147345664	sshash.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_eulertigs.k_15.d_na	na	106.77000000000001	12067724	17.12	1185528	1.81	147452	Pos	1000000	123.89000000000001	12067724	1.81	58.99796250729337
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	SSHash	eulertigs	15	na	19994182	147345664	sshash.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_eulertigs.k_15.d_na	na	106.77000000000001	12067724	17.12	1185528	1.6400000000000001	147452	Str	999856	123.89000000000001	12067724	1.6402361940119379	58.99796250729337
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	cbl	none	15	na	19994182	119921336	cbl.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_15.d_na	na	na	na	28.32	695636	3.5199999999999996	694940	Neg	1000000	28.32	695636	3.5199999999999996	278.0568867483551
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	cbl	none	15	na	19994182	119921336	cbl.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_15.d_na	na	na	na	28.32	695636	2.6799999999999997	694936	Pos	1000000	28.32	695636	2.6799999999999997	278.05528628277966
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	cbl	none	15	na	19994182	119921336	cbl.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_15.d_na	na	na	na	28.32	695636	2.81	694936	Str	999856	28.32	695636	2.810404698276552	278.05528628277966
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	fmsi	global	15	na	19994182	20565372	fmsi.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_global.k_15.d_na	na	88.6	920052	18.080000000000002	910808	3.54	24388	Neg	1000000	106.67999999999999	920052	3.54	9.758038613432648
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	fmsi	global	15	na	19994182	20565372	fmsi.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_global.k_15.d_na	na	88.6	920052	18.080000000000002	910808	3.38	24384	Pos	1000000	106.67999999999999	920052	3.38	9.756438147857212
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	fmsi	global	15	na	19994182	27393532	fmsi.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_global.k_15.d_na	na	88.6	920052	18.080000000000002	910808	2.3899999999999997	31168	Str	999856	106.67999999999999	920052	2.390344209566177	12.470827763796489
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	sbwt	none	15	0	19994182	60811832	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_15.d_0	na	na	na	573.36	8372812	1.26	88652	Neg	1000000	573.36	8372812	1.26	35.471118548385725
