genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed: 9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	SSHash	eulertigs	15	na	22395516	162152346	sshash.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_eulertigs.k_15.d_na	na	113.46000000000001	13159588	18.45	1308324	2.69	162180	Neg	1000000	131.91	13159588	2.69	57.93302552171605
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	SSHash	eulertigs	15	na	22395516	162152346	sshash.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_eulertigs.k_15.d_na	na	113.46000000000001	13159588	18.45	1308324	2.01	162172	Pos	1000000	131.91	13159588	2.01	57.93016780680561
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	SSHash	eulertigs	15	na	22395516	162152346	sshash.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_eulertigs.k_15.d_na	na	113.46000000000001	13159588	18.45	1308324	1.76	162092	Str	999856	131.91	13159588	1.7602534765006161	57.9015906577013
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	cbl	none	15	na	22395516	129394043	cbl.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_none.k_15.d_na	na	na	na	37.29	735520	3.5599999999999996	734052	Neg	1000000	37.29	735520	3.5599999999999996	262.2139181789783
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	cbl	none	15	na	22395516	129394043	cbl.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_none.k_15.d_na	na	na	na	37.29	735520	2.78	734048	Pos	1000000	37.29	735520	2.78	262.2124893215231
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	cbl	none	15	na	22395516	129394043	cbl.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_none.k_15.d_na	na	na	na	37.29	735520	2.1999999999999997	734048	Str	999856	37.29	735520	2.20031684562577	262.2124893215231
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	fmsi	global	15	na	22395516	22474844	fmsi.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_global.k_15.d_na	na	100.4	1022060	18.18	993044	2.5100000000000002	26364	Neg	1000000	118.58000000000001	1022060	2.5100000000000002	9.417599487325946
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	fmsi	global	15	na	22395516	22474844	fmsi.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_global.k_15.d_na	na	100.4	1022060	18.18	993044	3.3499999999999996	26360	Pos	1000000	118.58000000000001	1022060	3.3499999999999996	9.416170629870729
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	fmsi	global	15	na	22395516	29922212	fmsi.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_global.k_15.d_na	na	100.4	1022060	18.18	993044	2.5999999999999996	34068	Str	999856	118.58000000000001	1022060	2.6003744539213645	12.16957894607117
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	fmsi	local	15	1	22395516	87476263	fmsi.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_local.k_15.d_1	na	83.77000000000001	278444	85.8	4453600	6.71	93460	Neg	1000000	169.57	4453600	6.71	33.38525444111223
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	fmsi	local	15	1	22395516	87476263	fmsi.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_local.k_15.d_1	na	83.77000000000001	278444	85.8	4453600	3.49	93460	Pos	1000000	169.57	4453600	3.49	33.38525444111223
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	fmsi	local	15	1	22395516	120979527	fmsi.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_local.k_15.d_1	na	83.77000000000001	278444	85.8	4453600	2.32	126180	Str	999856	169.57	4453600	2.3203341281144483	45.073308424775746
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	SSHash	eulertigs	23	na	58377996	578246558	sshash.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_eulertigs.k_23.d_na	na	285.86	37684304	50.05	2425208	4.87	568564	Neg	1000000	335.91	37684304	4.87	77.91483626810349
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	SSHash	eulertigs	23	na	58377996	578246558	sshash.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_eulertigs.k_23.d_na	na	285.86	37684304	50.05	2425208	4.800000000000001	568556	Pos	1000000	335.91	37684304	4.800000000000001	77.9137399646264
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	SSHash	eulertigs	23	na	58377996	578246558	sshash.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_eulertigs.k_23.d_na	na	285.86	37684304	50.05	2425208	9.82	568556	Str	999966	335.91	37684304	9.820333891352307	77.9137399646264
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	cbl	none	23	na	58377996	336660617	cbl.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_none.k_23.d_na	na	na	na	72.7	998492	4.529999999999999	970460	Neg	1000000	72.7	998492	4.529999999999999	132.98983404637596
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	cbl	none	23	na	58377996	336660617	cbl.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_none.k_23.d_na	na	na	na	72.7	998492	5.09	970456	Pos	1000000	72.7	998492	5.09	132.98928589463742
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	cbl	none	23	na	58377996	336660617	cbl.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_none.k_23.d_na	na	na	na	72.7	998492	4.92	970456	Str	999966	72.7	998492	4.920167285687714	132.98928589463742
human_rnaseq_srx348811.unitigs_minfreq2_k32	0.1	fmsi	global	23	na	58377996	129309807	fmsi.human_rnaseq_srx348811.unitigs_minfreq2_k32.S_global.k_23.d_na	na	603.9200000000001	2750292	139.55	6409448	6.48	136100	Neg	1000000	743.47	6409448	6.48	18.65086290389276
