genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed: 9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer
spneumo_pangenome_RASE_db.unitigs_k128	0.1	SSHash	eulertigs	15	na	663437	4899452	sshash.spneumo_pangenome_RASE_db.unitigs_k128.S_eulertigs.k_15.d_na	na	7.390000000000001	800092	0.51	64652	1.55	8256	Neg	1000000	7.9	800092	1.55	99.55429076159454
spneumo_pangenome_RASE_db.unitigs_k128	0.1	SSHash	eulertigs	15	na	663437	4899452	sshash.spneumo_pangenome_RASE_db.unitigs_k128.S_eulertigs.k_15.d_na	na	7.390000000000001	800092	0.51	64652	0.86	8248	Pos	1000000	7.9	800092	0.86	99.45782342558525
spneumo_pangenome_RASE_db.unitigs_k128	0.1	SSHash	eulertigs	15	na	663437	4899452	sshash.spneumo_pangenome_RASE_db.unitigs_k128.S_eulertigs.k_15.d_na	na	7.390000000000001	800092	0.51	64652	1.47	8248	Str	999856	7.9	800092	1.47021171048631	99.45782342558525
spneumo_pangenome_RASE_db.unitigs_k128	0.1	cbl	none	15	na	663437	5604041	cbl.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_15.d_na	na	na	na	0.68	59944	0.5	59392	Neg	1000000	0.68	59944	0.5	716.1735025330212
spneumo_pangenome_RASE_db.unitigs_k128	0.1	cbl	none	15	na	663437	5604041	cbl.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_15.d_na	na	na	na	0.68	59944	0.54	59388	Pos	1000000	0.68	59944	0.54	716.1252688650166
spneumo_pangenome_RASE_db.unitigs_k128	0.1	cbl	none	15	na	663437	5604041	cbl.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_15.d_na	na	na	na	0.68	59944	0.26	59388	Str	999856	0.68	59944	0.26003744539213647	716.1252688650166
spneumo_pangenome_RASE_db.unitigs_k128	0.1	fmsi	global	15	na	663437	995287	fmsi.spneumo_pangenome_RASE_db.unitigs_k128.S_global.k_15.d_na	na	2.4099999999999997	34140	0.45	52840	2.57	4932	Neg	1000000	2.86	52840	2.57	59.47211264973163
spneumo_pangenome_RASE_db.unitigs_k128	0.1	fmsi	global	15	na	663437	995287	fmsi.spneumo_pangenome_RASE_db.unitigs_k128.S_global.k_15.d_na	na	2.4099999999999997	34140	0.45	52840	1.19	4932	Pos	1000000	2.86	52840	1.19	59.47211264973163
spneumo_pangenome_RASE_db.unitigs_k128	0.1	fmsi	global	15	na	663437	1344023	fmsi.spneumo_pangenome_RASE_db.unitigs_k128.S_global.k_15.d_na	na	2.4099999999999997	34140	0.45	52840	1.39	5040	Str	999856	2.86	52840	1.390200188827191	60.774421685857135
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	15	0	663437	4479992	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_15.d_0	na	na	na	22.07	353572	0.83	33720	Neg	1000000	22.07	353572	0.83	406.60982127918703
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	15	0	663437	4479992	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_15.d_0	na	na	na	22.07	353572	0.55	33720	Pos	1000000	22.07	353572	0.55	406.60982127918703
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	15	0	663437	5287336	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_15.d_0	na	na	na	22.07	353572	0.42000000000000004	34508	Str	999856	22.07	353572	0.4200604887103743	416.11185387610277
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	15	1	663437	2671434	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_15.d_1	na	na	na	13.74	229068	5.54	31936	Neg	1000000	13.74	229068	5.54	385.0976053491138
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	15	1	663437	2671434	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_15.d_1	na	na	na	13.74	229068	5.390000000000001	31936	Pos	1000000	13.74	229068	5.390000000000001	385.0976053491138
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	15	1	663437	3116586	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_15.d_1	na	na	na	13.74	229068	4.8999999999999995	32460	Str	999856	13.74	229068	4.900705701621034	391.41621585772276
spneumo_pangenome_RASE_db.unitigs_k128	0.1	SSHash	eulertigs	23	na	825790	7615970	sshash.spneumo_pangenome_RASE_db.unitigs_k128.S_eulertigs.k_23.d_na	na	8.71	937928	0.6	68060	2.4699999999999998	11092	Neg	1000000	9.31	937928	2.4699999999999998	107.455890722823
spneumo_pangenome_RASE_db.unitigs_k128	0.1	SSHash	eulertigs	23	na	825790	7615970	sshash.spneumo_pangenome_RASE_db.unitigs_k128.S_eulertigs.k_23.d_na	na	8.71	937928	0.6	68060	1.77	11084	Pos	1000000	9.31	937928	1.77	107.37838917884692
spneumo_pangenome_RASE_db.unitigs_k128	0.1	SSHash	eulertigs	23	na	825790	7615970	sshash.spneumo_pangenome_RASE_db.unitigs_k128.S_eulertigs.k_23.d_na	na	8.71	937928	0.6	68060	3.23	11084	Str	999966	9.31	937928	3.230109823734007	107.37838917884692
spneumo_pangenome_RASE_db.unitigs_k128	0.1	cbl	none	23	na	825790	8015786	cbl.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_23.d_na	na	na	na	0.85	63652	0.76	62636	Neg	1000000	0.85	63652	0.76	606.798338560651
spneumo_pangenome_RASE_db.unitigs_k128	0.1	cbl	none	23	na	825790	8015786	cbl.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_23.d_na	na	na	na	0.85	63652	0.7000000000000001	62632	Pos	1000000	0.85	63652	0.7000000000000001	606.759587788663
spneumo_pangenome_RASE_db.unitigs_k128	0.1	cbl	none	23	na	825790	8015786	cbl.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_23.d_na	na	na	na	0.85	63652	0.35	62632	Str	999966	0.85	63652	0.3500119004046137	606.759587788663
spneumo_pangenome_RASE_db.unitigs_k128	0.1	fmsi	global	23	na	825790	2057744	fmsi.spneumo_pangenome_RASE_db.unitigs_k128.S_global.k_23.d_na	na	4.38	43192	1.45	113504	2.06	5980	Neg	1000000	5.83	113504	2.06	57.93240412211337
spneumo_pangenome_RASE_db.unitigs_k128	0.1	fmsi	global	23	na	825790	2057744	fmsi.spneumo_pangenome_RASE_db.unitigs_k128.S_global.k_23.d_na	na	4.38	43192	1.45	113504	2.03	5980	Pos	1000000	5.83	113504	2.03	57.93240412211337
spneumo_pangenome_RASE_db.unitigs_k128	0.1	fmsi	global	23	na	825790	2838960	fmsi.spneumo_pangenome_RASE_db.unitigs_k128.S_global.k_23.d_na	na	4.38	43192	1.45	113504	2.03	6776	Str	999966	5.83	113504	2.0300690223467597	65.64380774773248
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	23	0	825790	11361016	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_23.d_0	na	na	na	44.79	691864	0.8200000000000001	40252	Neg	1000000	44.79	691864	0.8200000000000001	389.94901851560326
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	23	0	825790	11361016	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_23.d_0	na	na	na	44.79	691864	1.18	40252	Pos	1000000	44.79	691864	1.18	389.94901851560326
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	23	0	825790	13787416	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_23.d_0	na	na	na	44.79	691864	0.67	42624	Str	999966	44.79	691864	0.6700227807745464	412.9282263045084
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	23	1	825790	4923362	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_23.d_1	na	na	na	24.13	361296	5.09	34032	Neg	1000000	24.13	361296	5.09	329.69156807420774
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	23	1	825790	4923362	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_23.d_1	na	na	na	24.13	361296	12.639999999999999	34248	Pos	1000000	24.13	361296	12.639999999999999	331.78410976156164
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	23	1	825790	6219066	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_23.d_1	na	na	na	24.13	361296	7.739999999999999	35348	Str	999966	24.13	361296	7.7402631689477435	342.44057205827147
spneumo_pangenome_RASE_db.unitigs_k128	0.1	SSHash	eulertigs	31	na	962131	10618552	sshash.spneumo_pangenome_RASE_db.unitigs_k128.S_eulertigs.k_31.d_na	na	9	1032032	0.67	70884	3.48	14252	Neg	1000000	9.67	1032032	3.48	118.50361333331948
spneumo_pangenome_RASE_db.unitigs_k128	0.1	SSHash	eulertigs	31	na	962131	10618552	sshash.spneumo_pangenome_RASE_db.unitigs_k128.S_eulertigs.k_31.d_na	na	9	1032032	0.67	70884	3.11	14244	Pos	1000000	9.67	1032032	3.11	118.43709432499317
spneumo_pangenome_RASE_db.unitigs_k128	0.1	SSHash	eulertigs	31	na	962131	10618552	sshash.spneumo_pangenome_RASE_db.unitigs_k128.S_eulertigs.k_31.d_na	na	9	1032032	0.67	70884	4.14	14244	Str	999810	9.67	1032032	4.140786749482402	118.43709432499317
spneumo_pangenome_RASE_db.unitigs_k128	0.1	cbl	none	31	na	962131	10333168	cbl.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_31.d_na	na	na	na	1.1	62756	0.96	61184	Neg	1000000	1.1	62756	0.96	508.7373756796112
spneumo_pangenome_RASE_db.unitigs_k128	0.1	cbl	none	31	na	962131	10333168	cbl.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_31.d_na	na	na	na	1.1	62756	1.12	61180	Pos	1000000	1.1	62756	1.12	508.70411617544806
spneumo_pangenome_RASE_db.unitigs_k128	0.1	cbl	none	31	na	962131	10333168	cbl.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_31.d_na	na	na	na	1.1	62756	0.28	61312	Str	999810	1.1	62756	0.2800532101099209	509.80167981283216
spneumo_pangenome_RASE_db.unitigs_k128	0.1	fmsi	global	31	na	962131	2836808	fmsi.spneumo_pangenome_RASE_db.unitigs_k128.S_global.k_31.d_na	na	6.65	49136	2.32	158948	2.03	6692	Neg	1000000	8.97	158948	2.03	55.64315046495747
spneumo_pangenome_RASE_db.unitigs_k128	0.1	fmsi	global	31	na	962131	2836808	fmsi.spneumo_pangenome_RASE_db.unitigs_k128.S_global.k_31.d_na	na	6.65	49136	2.32	158948	4.12	6688	Pos	1000000	8.97	158948	4.12	55.60989096079432
spneumo_pangenome_RASE_db.unitigs_k128	0.1	fmsi	global	31	na	962131	3940008	fmsi.spneumo_pangenome_RASE_db.unitigs_k128.S_global.k_31.d_na	na	6.65	49136	2.32	158948	1.35	7680	Str	999810	8.97	158948	1.3502565487442615	63.85824799325663
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	31	0	962131	19989496	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_31.d_0	na	na	na	77.85	1037112	1.06	48692	Neg	1000000	77.85	1037112	1.06	404.8679441780797
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	31	0	962131	19989496	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_31.d_0	na	na	na	77.85	1037112	2.44	48692	Pos	1000000	77.85	1037112	2.44	404.8679441780797
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	31	0	962131	24446136	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_31.d_0	na	na	na	77.85	1037112	0.74	53108	Str	999810	77.85	1037112	0.7401406267190767	441.58643677420224
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	31	1	962131	7573282	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_31.d_1	na	na	na	34.7	545288	5.6899999999999995	36600	Neg	1000000	34.7	545288	5.6899999999999995	304.32446309286365
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	31	1	962131	7573282	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_31.d_1	na	na	na	34.7	545288	18.290000000000003	36600	Pos	1000000	34.7	545288	18.290000000000003	304.32446309286365
spneumo_pangenome_RASE_db.unitigs_k128	0.1	sbwt	none	31	1	962131	9934906	sbwt.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_31.d_1	na	na	na	34.7	545288	9.709999999999999	38972	Str	999810	34.7	545288	9.711845250597614	324.0473490616143
spneumo_pangenome_RASE_db.unitigs_k128	1	SSHash	eulertigs	15	na	6634375	14902086	sshash.spneumo_pangenome_RASE_db.unitigs_k128.S_eulertigs.k_15.d_na	na	22.33	790104	2.87	203916	1.1400000000000001	18280	Neg	1000000	25.2	790104	1.1400000000000001	22.042769665567594
spneumo_pangenome_RASE_db.unitigs_k128	1	SSHash	eulertigs	15	na	6634375	14902086	sshash.spneumo_pangenome_RASE_db.unitigs_k128.S_eulertigs.k_15.d_na	na	22.33	790104	2.87	203916	1.1	18268	Pos	1000000	25.2	790104	1.1	22.028299576071596
spneumo_pangenome_RASE_db.unitigs_k128	1	SSHash	eulertigs	15	na	6634375	14902086	sshash.spneumo_pangenome_RASE_db.unitigs_k128.S_eulertigs.k_15.d_na	na	22.33	790104	2.87	203916	0.42	18268	Str	999856	25.2	790104	0.42006048871037427	22.028299576071596
spneumo_pangenome_RASE_db.unitigs_k128	1	cbl	none	15	na	6634375	39414684	cbl.spneumo_pangenome_RASE_db.unitigs_k128.S_none.k_15.d_na	na	na	na	16.8	245140	1.45	243728	Neg	1000000	16.8	245140	1.45	293.89716439001415
