pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k63.r_0.1.S_global.k_15.d_na.t_index	escherichia_coli.k63	0.1	03_fmsi	global	15	na	index	0	30.23	0.40	29.75	99%	1507500	176888	89360	30.238955
escherichia_coli.k63.r_0.1.S_local.k_15.d_1.t_index	escherichia_coli.k63	0.1	03_fmsi	local	15	1	index	0	182.97	5.39	177.33	99%	7039692	0	378888	182.977486
escherichia_coli.k63.r_0.1.S_global.k_23.d_na.t_index	escherichia_coli.k63	0.1	03_fmsi	global	23	na	index	0	250.12	2.35	247.54	99%	12477224	0	678528	250.131356
escherichia_coli.k63.r_0.1.S_local.k_23.d_1.t_index	escherichia_coli.k63	0.1	03_fmsi	local	23	1	index	0	858.13	7.58	849.76	99%	40403288	0	1995872	858.142298
escherichia_coli.k63.r_0.1.S_global.k_31.d_na.t_index	escherichia_coli.k63	0.1	03_fmsi	global	31	na	index	0	387.06	3.66	382.92	99%	18768712	0	993424	387.067771
escherichia_coli.k63.r_0.1.S_local.k_31.d_1.t_index	escherichia_coli.k63	0.1	03_fmsi	local	31	1	index	0	1351.08	12.22	1337.64	99%	61453152	0	2989320	1351.090068
escherichia_coli.k63.r_1.0.S_global.k_15.d_na.t_index	escherichia_coli.k63	1.0	03_fmsi	global	15	na	index	0	141.08	1.63	139.13	99%	7041664	828120	353208	141.091073
escherichia_coli.k63.r_1.0.S_local.k_15.d_1.t_index	escherichia_coli.k63	1.0	03_fmsi	local	15	1	index	0	466.24	32.89	432.93	99%	12863048	0	694128	466.247523
escherichia_coli.k63.r_1.0.S_global.k_23.d_na.t_index	escherichia_coli.k63	1.0	03_fmsi	global	23	na	index	0	472.45	4.30	467.71	99%	21588808	2328	1087576	472.458535
escherichia_coli.k63.r_1.0.S_local.k_23.d_1.t_index	escherichia_coli.k63	1.0	03_fmsi	local	23	1	index	0	542.40	4.79	537.11	99%	25828120	0	1460216	542.405489
