pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k63.r_0.1.S_global.k_15.d_na.t_Neg	escherichia_coli.k63	0.1	04_fmsi_query	global	15	na	Neg	1000000	2.86	0.03	2.83	99%	38836	0	0	2.873317
escherichia_coli.k63.r_0.1.S_global.k_15.d_na.t_Pos	escherichia_coli.k63	0.1	04_fmsi_query	global	15	na	Pos	1000000	3.37	0.01	3.35	99%	38836	0	0	3.376733
escherichia_coli.k63.r_0.1.S_local.k_15.d_1.t_Neg	escherichia_coli.k63	0.1	04_fmsi_query	local	15	1	Neg	1000000	6.41	0.11	6.29	99%	148080	0	0	6.421509
escherichia_coli.k63.r_0.1.S_local.k_15.d_1.t_Pos	escherichia_coli.k63	0.1	04_fmsi_query	local	15	1	Pos	1000000	5.03	0.14	4.88	99%	148080	46808	0	5.045246
escherichia_coli.k63.r_0.1.S_global.k_23.d_na.t_Neg	escherichia_coli.k63	0.1	04_fmsi_query	global	23	na	Neg	1000000	6.70	0.09	6.59	99%	262908	0	0	6.706559
escherichia_coli.k63.r_0.1.S_global.k_23.d_na.t_Pos	escherichia_coli.k63	0.1	04_fmsi_query	global	23	na	Pos	1000000	7.94	0.07	7.86	99%	262908	0	0	7.950696
escherichia_coli.k63.r_0.1.S_local.k_23.d_1.t_Neg	escherichia_coli.k63	0.1	04_fmsi_query	local	23	1	Neg	1000000	8.01	0.18	7.81	99%	741908	0	0	8.017397
escherichia_coli.k63.r_0.1.S_local.k_23.d_1.t_Pos	escherichia_coli.k63	0.1	04_fmsi_query	local	23	1	Pos	1000000	6.91	0.21	6.68	99%	741908	0	0	6.922715
escherichia_coli.k63.r_0.1.S_global.k_31.d_na.t_Neg	escherichia_coli.k63	0.1	04_fmsi_query	global	31	na	Neg	1000000	7.31	0.12	7.17	99%	379872	0	0	7.324807
escherichia_coli.k63.r_0.1.S_global.k_31.d_na.t_Pos	escherichia_coli.k63	0.1	04_fmsi_query	global	31	na	Pos	1000000	10.89	0.12	10.75	99%	379872	0	0	10.899158
escherichia_coli.k63.r_0.1.S_local.k_31.d_1.t_Neg	escherichia_coli.k63	0.1	04_fmsi_query	local	31	1	Neg	1000000	8.72	0.30	8.40	99%	1103196	0	0	8.731468
escherichia_coli.k63.r_0.1.S_local.k_31.d_1.t_Pos	escherichia_coli.k63	0.1	04_fmsi_query	local	31	1	Pos	1000000	9.74	0.38	9.34	99%	1103196	0	0	9.753409
escherichia_coli.k63.r_1.0.S_global.k_15.d_na.t_Neg	escherichia_coli.k63	1.0	04_fmsi_query	global	15	na	Neg	1000000	7.12	0.05	7.06	99%	135236	0	0	7.129824
escherichia_coli.k63.r_1.0.S_global.k_15.d_na.t_Pos	escherichia_coli.k63	1.0	04_fmsi_query	global	15	na	Pos	1000000	4.94	0.05	4.87	99%	135236	0	0	4.952478
escherichia_coli.k63.r_1.0.S_global.k_15.d_na.t_Str	escherichia_coli.k63	1.0	04_fmsi_query	global	15	na	Str	2860000	5.55	0.08	5.46	99%	186984	0	0	5.565429
escherichia_coli.k63.r_1.0.S_local.k_15.d_1.t_Neg	escherichia_coli.k63	1.0	04_fmsi_query	local	15	1	Neg	1000000	5.47	0.14	5.32	99%	268192	46664	0	5.48551
escherichia_coli.k63.r_1.0.S_local.k_15.d_1.t_Pos	escherichia_coli.k63	1.0	04_fmsi_query	local	15	1	Pos	1000000	4.92	0.23	4.67	99%	268192	46808	0	4.926899
escherichia_coli.k63.r_1.0.S_local.k_15.d_1.t_Str	escherichia_coli.k63	1.0	04_fmsi_query	local	15	1	Str	2860000	4.93	0.16	4.75	99%	362748	0	0	4.940051
escherichia_coli.k63.r_1.0.S_global.k_23.d_na.t_Neg	escherichia_coli.k63	1.0	04_fmsi_query	global	23	na	Neg	1000000	8.84	0.35	8.48	99%	408812	0	0	8.856525
escherichia_coli.k63.r_1.0.S_global.k_23.d_na.t_Pos	escherichia_coli.k63	1.0	04_fmsi_query	global	23	na	Pos	1000000	11.01	1.11	9.88	99%	408812	62592	0	11.022307
escherichia_coli.k63.r_1.0.S_global.k_23.d_na.t_Str	escherichia_coli.k63	1.0	04_fmsi_query	global	23	na	Str	2780000	8.50	1.32	7.16	99%	567528	0	0	8.509075
escherichia_coli.k63.r_1.0.S_local.k_23.d_1.t_Neg	escherichia_coli.k63	1.0	04_fmsi_query	local	23	1	Neg	1000000	8.03	0.19	7.82	99%	567864	0	0	8.036558
escherichia_coli.k63.r_1.0.S_local.k_23.d_1.t_Pos	escherichia_coli.k63	1.0	04_fmsi_query	local	23	1	Pos	1000000	8.63	0.20	8.41	99%	567864	0	0	8.63724
escherichia_coli.k63.r_1.0.S_local.k_23.d_1.t_Str	escherichia_coli.k63	1.0	04_fmsi_query	local	23	1	Str	2780000	6.92	0.28	6.63	99%	757748	0	0	6.93142
escherichia_coli.k63.r_1.0.S_global.k_31.d_na.t_Neg	escherichia_coli.k63	1.0	04_fmsi_query	global	31	na	Neg	1000000	7.67	0.17	7.48	99%	482912	0	0	7.679553
escherichia_coli.k63.r_1.0.S_global.k_31.d_na.t_Pos	escherichia_coli.k63	1.0	04_fmsi_query	global	31	na	Pos	1000000	11.12	0.22	10.87	99%	482912	0	0	11.126204
escherichia_coli.k63.r_1.0.S_global.k_31.d_na.t_Str	escherichia_coli.k63	1.0	04_fmsi_query	global	31	na	Str	2700000	5.88	0.23	5.63	99%	667164	0	0	5.889095
escherichia_coli.k63.r_1.0.S_local.k_31.d_1.t_Neg	escherichia_coli.k63	1.0	04_fmsi_query	local	31	1	Neg	1000000	8.28	0.19	8.07	99%	651188	77896	0	8.289524
escherichia_coli.k63.r_1.0.S_local.k_31.d_1.t_Pos	escherichia_coli.k63	1.0	04_fmsi_query	local	31	1	Pos	1000000	11.29	0.22	11.05	99%	651188	0	0	11.302683
escherichia_coli.k63.r_1.0.S_local.k_31.d_1.t_Str	escherichia_coli.k63	1.0	04_fmsi_query	local	31	1	Str	2700000	8.08	0.23	7.84	99%	868352	0	0	8.091857
sars-cov-2_pangenome_k32.r_0.1.S_global.k_15.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	04_fmsi_query	global	15	na	Neg	1000000	1.89	0.01	1.88	99%	4648	0	0	1.900102
sars-cov-2_pangenome_k32.r_0.1.S_global.k_15.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	04_fmsi_query	global	15	na	Pos	1000000	1.79	0.01	1.77	99%	4648	0	0	1.795645
sars-cov-2_pangenome_k32.r_0.1.S_local.k_15.d_1.t_Neg	sars-cov-2_pangenome_k32	0.1	04_fmsi_query	local	15	1	Neg	1000000	2.03	0.00	2.03	99%	5892	0	0	2.045302
sars-cov-2_pangenome_k32.r_0.1.S_local.k_15.d_1.t_Pos	sars-cov-2_pangenome_k32	0.1	04_fmsi_query	local	15	1	Pos	1000000	1.45	0.01	1.43	99%	5892	0	0	1.462305
sars-cov-2_pangenome_k32.r_0.1.S_global.k_23.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	04_fmsi_query	global	23	na	Neg	1000000	1.79	0.01	1.78	99%	5552	0	0	1.799333
sars-cov-2_pangenome_k32.r_0.1.S_global.k_23.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	04_fmsi_query	global	23	na	Pos	1000000	2.55	0.01	2.54	99%	5552	0	0	2.563973
sars-cov-2_pangenome_k32.r_0.1.S_local.k_23.d_1.t_Neg	sars-cov-2_pangenome_k32	0.1	04_fmsi_query	local	23	1	Neg	1000000	1.98	0.02	1.96	99%	8720	0	0	1.986878
sars-cov-2_pangenome_k32.r_0.1.S_local.k_23.d_1.t_Pos	sars-cov-2_pangenome_k32	0.1	04_fmsi_query	local	23	1	Pos	1000000	2.42	0.01	2.39	99%	8720	0	0	2.426438
sars-cov-2_pangenome_k32.r_0.1.S_global.k_31.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	04_fmsi_query	global	31	na	Neg	1000000	1.88	0.02	1.86	99%	6816	0	0	1.8919
sars-cov-2_pangenome_k32.r_0.1.S_global.k_31.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	04_fmsi_query	global	31	na	Pos	1000000	3.90	0.01	3.88	99%	6816	0	0	3.910253
sars-cov-2_pangenome_k32.r_0.1.S_local.k_31.d_1.t_Neg	sars-cov-2_pangenome_k32	0.1	04_fmsi_query	local	31	1	Neg	1000000	2.33	0.03	2.30	99%	12816	0	0	2.34212
sars-cov-2_pangenome_k32.r_0.1.S_local.k_31.d_1.t_Pos	sars-cov-2_pangenome_k32	0.1	04_fmsi_query	local	31	1	Pos	1000000	2.77	0.01	2.75	99%	12816	0	0	2.777333
sars-cov-2_pangenome_k32.r_1.0.S_global.k_15.d_na.t_Neg	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	global	15	na	Neg	1000000	1.83	0.01	1.81	99%	5632	0	0	1.836247
sars-cov-2_pangenome_k32.r_1.0.S_global.k_15.d_na.t_Pos	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	global	15	na	Pos	1000000	1.88	0.01	1.87	99%	5632	0	0	1.893764
sars-cov-2_pangenome_k32.r_1.0.S_global.k_15.d_na.t_Str	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	global	15	na	Str	2860000	2.60	0.00	2.60	99%	6716	0	0	2.612765
sars-cov-2_pangenome_k32.r_1.0.S_local.k_15.d_1.t_Neg	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	local	15	1	Neg	1000000	1.90	0.00	1.89	99%	7080	0	0	1.90694
sars-cov-2_pangenome_k32.r_1.0.S_local.k_15.d_1.t_Pos	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	local	15	1	Pos	1000000	1.95	0.00	1.94	99%	7080	0	0	1.963337
sars-cov-2_pangenome_k32.r_1.0.S_local.k_15.d_1.t_Str	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	local	15	1	Str	2860000	2.55	0.00	2.54	99%	8532	0	0	2.56033
sars-cov-2_pangenome_k32.r_1.0.S_global.k_23.d_na.t_Neg	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	global	23	na	Neg	1000000	2.12	0.00	2.12	99%	7080	0	0	2.135228
sars-cov-2_pangenome_k32.r_1.0.S_global.k_23.d_na.t_Pos	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	global	23	na	Pos	1000000	2.61	0.01	2.60	99%	7080	0	0	2.622094
sars-cov-2_pangenome_k32.r_1.0.S_global.k_23.d_na.t_Str	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	global	23	na	Str	2780000	3.07	0.01	3.06	99%	8840	0	0	3.084259
sars-cov-2_pangenome_k32.r_1.0.S_local.k_23.d_1.t_Neg	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	local	23	1	Neg	1000000	1.94	0.01	1.92	99%	9660	0	0	1.949975
sars-cov-2_pangenome_k32.r_1.0.S_local.k_23.d_1.t_Pos	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	local	23	1	Pos	1000000	2.73	0.01	2.72	99%	9660	0	0	2.745081
sars-cov-2_pangenome_k32.r_1.0.S_local.k_23.d_1.t_Str	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	local	23	1	Str	2780000	3.48	0.00	3.48	99%	11100	0	0	3.49457
sars-cov-2_pangenome_k32.r_1.0.S_global.k_31.d_na.t_Neg	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	global	31	na	Neg	1000000	2.18	0.01	2.17	99%	9124	0	0	2.189466
sars-cov-2_pangenome_k32.r_1.0.S_global.k_31.d_na.t_Pos	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	global	31	na	Pos	1000000	3.90	0.01	3.88	99%	9124	0	0	3.9066
sars-cov-2_pangenome_k32.r_1.0.S_global.k_31.d_na.t_Str	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	global	31	na	Str	2700000	3.87	0.00	3.86	99%	10836	0	0	3.884434
sars-cov-2_pangenome_k32.r_1.0.S_local.k_31.d_1.t_Neg	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	local	31	1	Neg	1000000	1.95	0.01	1.93	99%	11760	0	0	1.962419
sars-cov-2_pangenome_k32.r_1.0.S_local.k_31.d_1.t_Pos	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	local	31	1	Pos	1000000	4.00	0.02	3.97	99%	11760	0	0	4.010589
sars-cov-2_pangenome_k32.r_1.0.S_local.k_31.d_1.t_Str	sars-cov-2_pangenome_k32	1.0	04_fmsi_query	local	31	1	Str	2700000	4.67	0.01	4.65	99%	14464	6720	0	4.68154
