pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k63.r_0.1.S_prophasm.k_15.d_na.t_superstring	escherichia_coli.k63	0.1	06_prophasm	prophasm	15	na	superstring	0	116.00	3.35	112.30	99%	1568624	0	1453640	116.005493
escherichia_coli.k63.r_0.1.S_prophasm.k_23.d_na.t_superstring	escherichia_coli.k63	0.1	06_prophasm	prophasm	23	na	superstring	0	435.02	10.18	417.95	98%	5577272	0	7209072	435.028483
escherichia_coli.k63.r_0.1.S_prophasm.k_31.d_na.t_superstring	escherichia_coli.k63	0.1	06_prophasm	prophasm	31	na	superstring	0	572.16	15.87	541.35	97%	5769848	512	10032976	572.17053
escherichia_coli.k63.r_1.0.S_prophasm.k_15.d_na.t_superstring	escherichia_coli.k63	1.0	06_prophasm	prophasm	15	na	superstring	0	1918.75	29.84	1886.55	99%	14842800	736	2173792	1918.758535
escherichia_coli.k63.r_1.0.S_prophasm.k_23.d_na.t_superstring	escherichia_coli.k63	1.0	06_prophasm	prophasm	23	na	superstring	0	2774.95	45.94	2726.30	99%	50137832	192	3455992	2774.960804
escherichia_coli.k63.r_1.0.S_prophasm.k_31.d_na.t_superstring	escherichia_coli.k63	1.0	06_prophasm	prophasm	31	na	superstring	0	3574.68	86.40	3484.58	99%	54872900	0	3852496	3574.690211
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_superstring	sars-cov-2_pangenome_k32	0.1	06_prophasm	prophasm	15	na	superstring	0	0.87	0.05	0.75	93%	43640	0	20696	0.876515
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_superstring	sars-cov-2_pangenome_k32	0.1	06_prophasm	prophasm	23	na	superstring	0	2.16	0.07	1.97	94%	59292	0	46192	2.169616
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_superstring	sars-cov-2_pangenome_k32	0.1	06_prophasm	prophasm	31	na	superstring	0	3.42	0.13	3.15	95%	69588	0	80920	3.43454
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_superstring	sars-cov-2_pangenome_k32	1.0	06_prophasm	prophasm	15	na	superstring	0	9.75	0.16	9.58	99%	220300	0	23672	9.761602
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_superstring	sars-cov-2_pangenome_k32	1.0	06_prophasm	prophasm	23	na	superstring	0	13.35	0.28	13.06	99%	368544	0	35352	13.362682
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_superstring	sars-cov-2_pangenome_k32	1.0	06_prophasm	prophasm	31	na	superstring	0	17.14	0.35	16.77	99%	470460	0	48840	17.149383
spneumo_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_superstring	spneumo_pangenome_k32	0.1	06_prophasm	prophasm	15	na	superstring	0	1.57	0.05	1.43	94%	49448	0	28744	1.583073
spneumo_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_superstring	spneumo_pangenome_k32	0.1	06_prophasm	prophasm	23	na	superstring	0	2.27	0.08	2.07	95%	60084	0	47792	2.277277
spneumo_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_superstring	spneumo_pangenome_k32	0.1	06_prophasm	prophasm	31	na	superstring	0	3.15	0.09	2.87	93%	64308	0	69248	3.16329
spneumo_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_superstring	spneumo_pangenome_k32	1.0	06_prophasm	prophasm	15	na	superstring	0	11.11	0.41	10.69	99%	331324	0	24504	11.12372
spneumo_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_superstring	spneumo_pangenome_k32	1.0	06_prophasm	prophasm	23	na	superstring	0	11.81	0.22	11.58	99%	376020	0	26344	11.822632
spneumo_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_superstring	spneumo_pangenome_k32	1.0	06_prophasm	prophasm	31	na	superstring	0	14.07	0.40	13.65	99%	418744	0	31336	14.079771
