pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k63.r_0.1.S_none.k_15.d_0.t_index	escherichia_coli.k63	0.1	11_sbwt	none	15	0	index	0	1178.88	69.29	1130.76	101%	14697268	0	52617544	1178.892675
escherichia_coli.k63.r_0.1.S_none.k_15.d_1.t_index	escherichia_coli.k63	0.1	11_sbwt	none	15	1	index	0	582.42	26.71	564.83	101%	8161960	0	29261040	582.433357
escherichia_coli.k63.r_0.1.S_none.k_23.d_0.t_index	escherichia_coli.k63	0.1	11_sbwt	none	23	0	index	0	7645.83	322.71	7442.34	101%	69305396	1103560	307980000	7645.844639
escherichia_coli.k63.r_0.1.S_none.k_23.d_1.t_index	escherichia_coli.k63	0.1	11_sbwt	none	23	1	index	0	4188.91	147.67	4089.71	101%	48327532	136	157215664	4188.920684
escherichia_coli.k63.r_0.1.S_none.k_31.d_0.t_index	escherichia_coli.k63	0.1	11_sbwt	none	31	0	index	0	14717.45	1382.83	13597.74	101%	69304400	179922408	466525904	14717.464026
escherichia_coli.k63.r_0.1.S_none.k_31.d_1.t_index	escherichia_coli.k63	0.1	11_sbwt	none	31	1	index	0	6764.51	214.18	6629.70	101%	69301184	264	237975432	6764.51866
escherichia_coli.k63.r_1.0.S_none.k_15.d_0.t_index	escherichia_coli.k63	1.0	11_sbwt	none	15	0	index	0	485.33	59.00	472.70	109%	28175624	0	55748952	485.342738
escherichia_coli.k63.r_1.0.S_none.k_15.d_1.t_index	escherichia_coli.k63	1.0	11_sbwt	none	15	1	index	0	381.35	37.80	376.23	108%	14106132	0	35964288	381.359962
escherichia_coli.k63.r_1.0.S_none.k_23.d_0.t_index	escherichia_coli.k63	1.0	11_sbwt	none	23	0	index	0	1089.36	160.64	1052.41	111%	18996484	0	147747392	1089.369041
escherichia_coli.k63.r_1.0.S_none.k_23.d_1.t_index	escherichia_coli.k63	1.0	11_sbwt	none	23	1	index	0	823.69	81.47	815.48	108%	11175368	0	82635224	823.701705
escherichia_coli.k63.r_1.0.S_none.k_31.d_0.t_index	escherichia_coli.k63	1.0	11_sbwt	none	31	0	index	0	1313.93	195.43	1258.91	110%	58633808	0	184315648	1313.936985
escherichia_coli.k63.r_1.0.S_none.k_31.d_1.t_index	escherichia_coli.k63	1.0	11_sbwt	none	31	1	index	0	944.80	105.02	927.28	109%	35525712	0	102497064	944.807333
sars-cov-2_pangenome_k32.r_0.1.S_none.k_15.d_0.t_index	sars-cov-2_pangenome_k32	0.1	11_sbwt	none	15	0	index	0	12.35	1.02	11.55	101%	300716	0	832240	12.354888
sars-cov-2_pangenome_k32.r_0.1.S_none.k_15.d_1.t_index	sars-cov-2_pangenome_k32	0.1	11_sbwt	none	15	1	index	0	7.13	0.47	6.73	101%	203452	0	429320	7.138008
sars-cov-2_pangenome_k32.r_0.1.S_none.k_23.d_0.t_index	sars-cov-2_pangenome_k32	0.1	11_sbwt	none	23	0	index	0	35.48	2.33	33.66	101%	669440	0	2109848	35.485149
sars-cov-2_pangenome_k32.r_0.1.S_none.k_23.d_1.t_index	sars-cov-2_pangenome_k32	0.1	11_sbwt	none	23	1	index	0	22.97	1.19	22.00	100%	350956	0	1079800	22.978463
sars-cov-2_pangenome_k32.r_0.1.S_none.k_31.d_0.t_index	sars-cov-2_pangenome_k32	0.1	11_sbwt	none	31	0	index	0	71.63	3.68	68.79	101%	1145008	0	3969760	71.637458
sars-cov-2_pangenome_k32.r_0.1.S_none.k_31.d_1.t_index	sars-cov-2_pangenome_k32	0.1	11_sbwt	none	31	1	index	0	45.11	2.33	43.32	101%	619756	0	2028760	45.12366
sars-cov-2_pangenome_k32.r_1.0.S_none.k_15.d_0.t_index	sars-cov-2_pangenome_k32	1.0	11_sbwt	none	15	0	index	0	8.52	0.99	8.29	109%	261536	0	689704	8.527966
