pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k63.r_0.1.S_none.k_15.d_0.t_Neg	escherichia_coli.k63	0.1	12_sbwt_query	none	15	0	Neg	1000000	1.12	0.04	1.07	99%	123276	0	0	1.132409
escherichia_coli.k63.r_0.1.S_none.k_15.d_0.t_Pos	escherichia_coli.k63	0.1	12_sbwt_query	none	15	0	Pos	1000000	1.41	0.04	1.36	99%	123276	0	0	1.42376
escherichia_coli.k63.r_0.1.S_none.k_15.d_1.t_Neg	escherichia_coli.k63	0.1	12_sbwt_query	none	15	1	Neg	1000000	10.58	0.08	10.49	99%	84732	63376	0	10.589715
escherichia_coli.k63.r_0.1.S_none.k_15.d_1.t_Pos	escherichia_coli.k63	0.1	12_sbwt_query	none	15	1	Pos	1000000	12.67	0.09	12.55	99%	84736	124352	0	12.676975
escherichia_coli.k63.r_0.1.S_none.k_23.d_0.t_Neg	escherichia_coli.k63	0.1	12_sbwt_query	none	23	0	Neg	1000000	2.79	0.66	1.70	84%	1085528	928320	0	2.801309
escherichia_coli.k63.r_0.1.S_none.k_23.d_0.t_Pos	escherichia_coli.k63	0.1	12_sbwt_query	none	23	0	Pos	1000000	4.33	0.82	2.97	87%	1085528	1099024	0	4.335133
escherichia_coli.k63.r_0.1.S_none.k_23.d_1.t_Neg	escherichia_coli.k63	0.1	12_sbwt_query	none	23	1	Neg	1000000	17.63	0.23	17.32	99%	456600	102368	0	17.638512
escherichia_coli.k63.r_0.1.S_none.k_23.d_1.t_Pos	escherichia_coli.k63	0.1	12_sbwt_query	none	23	1	Pos	1000000	26.89	0.16	26.65	99%	456600	103896	0	26.899268
escherichia_coli.k63.r_0.1.S_none.k_31.d_0.t_Neg	escherichia_coli.k63	0.1	12_sbwt_query	none	31	0	Neg	1000000	4.61	1.72	1.86	77%	2148376	2040968	0	4.619374
escherichia_coli.k63.r_0.1.S_none.k_31.d_0.t_Pos	escherichia_coli.k63	0.1	12_sbwt_query	none	31	0	Pos	1000000	7.00	1.77	4.18	85%	2148376	2063288	0	7.012444
escherichia_coli.k63.r_0.1.S_none.k_31.d_1.t_Neg	escherichia_coli.k63	0.1	12_sbwt_query	none	31	1	Neg	1000000	19.73	0.32	19.35	99%	786696	150352	0	19.735674
escherichia_coli.k63.r_0.1.S_none.k_31.d_1.t_Pos	escherichia_coli.k63	0.1	12_sbwt_query	none	31	1	Pos	1000000	39.60	0.29	39.25	99%	786696	132048	0	39.60849
escherichia_coli.k63.r_1.0.S_none.k_15.d_0.t_Neg	escherichia_coli.k63	1.0	12_sbwt_query	none	15	0	Neg	1000000	1.54	0.15	1.38	99%	413856	0	0	1.548695
escherichia_coli.k63.r_1.0.S_none.k_15.d_0.t_Pos	escherichia_coli.k63	1.0	12_sbwt_query	none	15	0	Pos	1000000	1.62	0.12	1.49	99%	413856	0	0	1.626914
escherichia_coli.k63.r_1.0.S_none.k_15.d_0.t_Str	escherichia_coli.k63	1.0	12_sbwt_query	none	15	0	Str	2860000	0.80	0.14	0.66	99%	504120	0	0	0.809819
escherichia_coli.k63.r_1.0.S_none.k_15.d_1.t_Neg	escherichia_coli.k63	1.0	12_sbwt_query	none	15	1	Neg	1000000	12.60	0.17	12.34	99%	345228	60976	0	12.61187
escherichia_coli.k63.r_1.0.S_none.k_15.d_1.t_Pos	escherichia_coli.k63	1.0	12_sbwt_query	none	15	1	Pos	1000000	13.06	0.13	12.88	99%	345232	79232	0	13.067647
escherichia_coli.k63.r_1.0.S_none.k_15.d_1.t_Str	escherichia_coli.k63	1.0	12_sbwt_query	none	15	1	Str	2860000	5.47	0.11	5.34	99%	414836	14832	0	5.476926
escherichia_coli.k63.r_1.0.S_none.k_23.d_0.t_Neg	escherichia_coli.k63	1.0	12_sbwt_query	none	23	0	Neg	1000000	2.41	0.48	1.92	99%	1252328	0	0	2.416856
escherichia_coli.k63.r_1.0.S_none.k_23.d_0.t_Pos	escherichia_coli.k63	1.0	12_sbwt_query	none	23	0	Pos	1000000	3.22	0.31	2.89	99%	1252328	51808	0	3.225705
escherichia_coli.k63.r_1.0.S_none.k_23.d_0.t_Str	escherichia_coli.k63	1.0	12_sbwt_query	none	23	0	Str	2780000	1.06	0.36	0.69	99%	1539772	0	0	1.066821
escherichia_coli.k63.r_1.0.S_none.k_23.d_1.t_Neg	escherichia_coli.k63	1.0	12_sbwt_query	none	23	1	Neg	1000000	17.04	0.21	16.56	98%	434920	53232	0	17.052673
escherichia_coli.k63.r_1.0.S_none.k_23.d_1.t_Pos	escherichia_coli.k63	1.0	12_sbwt_query	none	23	1	Pos	1000000	23.63	0.19	23.31	99%	434920	155600	0	23.639054
escherichia_coli.k63.r_1.0.S_none.k_23.d_1.t_Str	escherichia_coli.k63	1.0	12_sbwt_query	none	23	1	Str	2780000	6.43	0.16	6.26	99%	598216	0	0	6.438878
escherichia_coli.k63.r_1.0.S_none.k_31.d_0.t_Neg	escherichia_coli.k63	1.0	12_sbwt_query	none	31	0	Neg	1000000	2.43	0.41	2.01	99%	1414184	0	0	2.43852
escherichia_coli.k63.r_1.0.S_none.k_31.d_0.t_Pos	escherichia_coli.k63	1.0	12_sbwt_query	none	31	0	Pos	1000000	6.45	0.51	5.92	99%	1414184	0	0	6.456096
escherichia_coli.k63.r_1.0.S_none.k_31.d_0.t_Str	escherichia_coli.k63	1.0	12_sbwt_query	none	31	0	Str	2700000	1.03	0.38	0.64	99%	1739556	0	0	1.040543
escherichia_coli.k63.r_1.0.S_none.k_31.d_1.t_Neg	escherichia_coli.k63	1.0	12_sbwt_query	none	31	1	Neg	1000000	17.00	0.23	16.74	99%	473060	36504	0	17.01066
escherichia_coli.k63.r_1.0.S_none.k_31.d_1.t_Pos	escherichia_coli.k63	1.0	12_sbwt_query	none	31	1	Pos	1000000	32.89	0.26	32.55	99%	473064	186856	0	32.900461
escherichia_coli.k63.r_1.0.S_none.k_31.d_1.t_Str	escherichia_coli.k63	1.0	12_sbwt_query	none	31	1	Str	2700000	5.93	0.15	5.76	99%	655540	0	0	5.934084
sars-cov-2_pangenome_k32.r_0.1.S_none.k_15.d_0.t_Neg	sars-cov-2_pangenome_k32	0.1	12_sbwt_query	none	15	0	Neg	1000000	0.40	0.02	0.38	99%	32736	0	0	0.411551
sars-cov-2_pangenome_k32.r_0.1.S_none.k_15.d_0.t_Pos	sars-cov-2_pangenome_k32	0.1	12_sbwt_query	none	15	0	Pos	1000000	0.58	0.01	0.56	99%	32736	0	0	0.585708
sars-cov-2_pangenome_k32.r_0.1.S_none.k_15.d_1.t_Neg	sars-cov-2_pangenome_k32	0.1	12_sbwt_query	none	15	1	Neg	1000000	3.86	0.02	3.84	99%	31484	0	0	3.874073
sars-cov-2_pangenome_k32.r_0.1.S_none.k_15.d_1.t_Pos	sars-cov-2_pangenome_k32	0.1	12_sbwt_query	none	15	1	Pos	1000000	6.45	0.04	6.38	99%	31484	124352	0	6.454793
sars-cov-2_pangenome_k32.r_0.1.S_none.k_23.d_0.t_Neg	sars-cov-2_pangenome_k32	0.1	12_sbwt_query	none	23	0	Neg	1000000	0.49	0.03	0.45	99%	38808	0	0	0.497805
sars-cov-2_pangenome_k32.r_0.1.S_none.k_23.d_0.t_Pos	sars-cov-2_pangenome_k32	0.1	12_sbwt_query	none	23	0	Pos	1000000	1.06	0.02	1.03	99%	38808	0	0	1.06477
sars-cov-2_pangenome_k32.r_0.1.S_none.k_23.d_1.t_Neg	sars-cov-2_pangenome_k32	0.1	12_sbwt_query	none	23	1	Neg	1000000	4.59	0.02	4.56	99%	33580	0	0	4.595438
sars-cov-2_pangenome_k32.r_0.1.S_none.k_23.d_1.t_Pos	sars-cov-2_pangenome_k32	0.1	12_sbwt_query	none	23	1	Pos	1000000	13.10	0.04	12.98	99%	33580	155600	0	13.105475
sars-cov-2_pangenome_k32.r_0.1.S_none.k_31.d_0.t_Neg	sars-cov-2_pangenome_k32	0.1	12_sbwt_query	none	31	0	Neg	1000000	0.65	0.02	0.63	99%	47512	0	0	0.663329
sars-cov-2_pangenome_k32.r_0.1.S_none.k_31.d_0.t_Pos	sars-cov-2_pangenome_k32	0.1	12_sbwt_query	none	31	0	Pos	1000000	1.80	0.02	1.78	99%	47512	0	0	1.811898
sars-cov-2_pangenome_k32.r_0.1.S_none.k_31.d_1.t_Neg	sars-cov-2_pangenome_k32	0.1	12_sbwt_query	none	31	1	Neg	1000000	5.35	0.11	5.20	99%	36676	186856	0	5.357314
sars-cov-2_pangenome_k32.r_0.1.S_none.k_31.d_1.t_Pos	sars-cov-2_pangenome_k32	0.1	12_sbwt_query	none	31	1	Pos	1000000	19.63	0.07	19.52	99%	36676	186856	0	19.638376
sars-cov-2_pangenome_k32.r_1.0.S_none.k_15.d_0.t_Neg	sars-cov-2_pangenome_k32	1.0	12_sbwt_query	none	15	0	Neg	1000000	0.45	0.02	0.42	99%	35376	0	0	0.459239
