pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k63.r_0.1.S_prophasm.k_15.d_na.t_index	escherichia_coli.k63	0.1	26_sshash	prophasm	15	na	index	0	22.66	5.92	24.54	134%	1502948	872	3617504	22.665808
escherichia_coli.k63.r_0.1.S_prophasm.k_23.d_na.t_index	escherichia_coli.k63	0.1	26_sshash	prophasm	23	na	index	0	82.69	13.47	93.30	129%	5317428	0	12853808	82.698731
escherichia_coli.k63.r_0.1.S_prophasm.k_31.d_na.t_index	escherichia_coli.k63	0.1	26_sshash	prophasm	31	na	index	0	95.66	15.77	100.57	121%	5854872	432	14119960	95.672467
escherichia_coli.k63.r_1.0.S_prophasm.k_15.d_na.t_index	escherichia_coli.k63	1.0	26_sshash	prophasm	15	na	index	0	100.72	18.77	98.92	116%	6361948	1152	18809648	100.734594
escherichia_coli.k63.r_1.0.S_prophasm.k_23.d_na.t_index	escherichia_coli.k63	1.0	26_sshash	prophasm	23	na	index	0	330.48	42.76	404.73	135%	10553756	0	34361088	330.48907
escherichia_coli.k63.r_1.0.S_prophasm.k_31.d_na.t_index	escherichia_coli.k63	1.0	26_sshash	prophasm	31	na	index	0	227.71	21.89	276.17	130%	7062596	0	19624880	227.716335
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_index	sars-cov-2_pangenome_k32	0.1	26_sshash	prophasm	15	na	index	0	0.27	0.11	0.28	144%	47252	0	34864	0.277194
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_index	sars-cov-2_pangenome_k32	0.1	26_sshash	prophasm	23	na	index	0	0.44	0.18	0.41	134%	58824	0	49880	0.451872
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_index	sars-cov-2_pangenome_k32	0.1	26_sshash	prophasm	31	na	index	0	0.65	0.26	0.81	165%	76844	0	72264	0.657622
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_index	sars-cov-2_pangenome_k32	1.0	26_sshash	prophasm	15	na	index	0	1.29	0.55	1.62	168%	174896	0	192768	1.300486
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_index	sars-cov-2_pangenome_k32	1.0	26_sshash	prophasm	23	na	index	0	1.29	0.39	2.15	196%	109508	0	106624	1.303074
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_index	sars-cov-2_pangenome_k32	1.0	26_sshash	prophasm	31	na	index	0	1.94	0.43	7.71	419%	150720	0	101104	1.950133
spneumo_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_index	spneumo_pangenome_k32	0.1	26_sshash	prophasm	15	na	index	0	0.33	0.12	0.39	158%	64056	0	48264	0.337632
spneumo_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_index	spneumo_pangenome_k32	0.1	26_sshash	prophasm	23	na	index	0	0.39	0.17	0.37	136%	67696	0	55536	0.401061
spneumo_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_index	spneumo_pangenome_k32	0.1	26_sshash	prophasm	31	na	index	0	0.47	0.14	0.45	125%	72076	0	63040	0.483038
spneumo_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_index	spneumo_pangenome_k32	1.0	26_sshash	prophasm	15	na	index	0	1.86	0.52	2.45	160%	209352	216	262912	1.870007
spneumo_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_index	spneumo_pangenome_k32	1.0	26_sshash	prophasm	23	na	index	0	1.14	0.45	1.27	151%	128492	0	115016	1.147205
spneumo_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_index	spneumo_pangenome_k32	1.0	26_sshash	prophasm	31	na	index	0	1.36	0.29	1.44	127%	91944	0	83968	1.373185
