pref	genome	rate	prog	S_alg	k	d	qType	num_queries	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k63.r_0.1.S_prophasm.k_15.d_na.t_Neg	escherichia_coli.k63	0.1	27_sshash_query	prophasm	15	na	Neg	1000000	2.72	0.08	2.63	99%	259820	0	0	2.725927
escherichia_coli.k63.r_0.1.S_prophasm.k_15.d_na.t_Pos	escherichia_coli.k63	0.1	27_sshash_query	prophasm	15	na	Pos	1000000	2.01	0.20	1.78	98%	259716	512192	0	2.021282
escherichia_coli.k63.r_0.1.S_prophasm.k_23.d_na.t_Neg	escherichia_coli.k63	0.1	27_sshash_query	prophasm	23	na	Neg	1000000	4.52	0.46	4.05	99%	1158924	0	0	4.531406
escherichia_coli.k63.r_0.1.S_prophasm.k_23.d_na.t_Pos	escherichia_coli.k63	0.1	27_sshash_query	prophasm	23	na	Pos	1000000	3.03	0.37	2.65	99%	1158924	0	0	3.037067
escherichia_coli.k63.r_0.1.S_prophasm.k_31.d_na.t_Neg	escherichia_coli.k63	0.1	27_sshash_query	prophasm	31	na	Neg	1000000	6.24	0.56	5.66	99%	1541096	0	0	6.246495
escherichia_coli.k63.r_0.1.S_prophasm.k_31.d_na.t_Pos	escherichia_coli.k63	0.1	27_sshash_query	prophasm	31	na	Pos	1000000	4.01	0.45	3.55	99%	1541096	0	0	4.017446
escherichia_coli.k63.r_1.0.S_prophasm.k_15.d_na.t_Neg	escherichia_coli.k63	1.0	27_sshash_query	prophasm	15	na	Neg	1000000	5.70	0.29	5.40	99%	992420	0	0	5.708933
escherichia_coli.k63.r_1.0.S_prophasm.k_15.d_na.t_Pos	escherichia_coli.k63	1.0	27_sshash_query	prophasm	15	na	Pos	1000000	4.05	0.35	3.69	99%	992416	8	0	4.059413
escherichia_coli.k63.r_1.0.S_prophasm.k_15.d_na.t_Str	escherichia_coli.k63	1.0	27_sshash_query	prophasm	15	na	Str	2860000	7.02	0.28	6.73	99%	992420	0	0	7.02939
escherichia_coli.k63.r_1.0.S_prophasm.k_23.d_na.t_Neg	escherichia_coli.k63	1.0	27_sshash_query	prophasm	23	na	Neg	1000000	3.56	0.65	2.91	99%	1707548	0	0	3.57381
escherichia_coli.k63.r_1.0.S_prophasm.k_23.d_na.t_Pos	escherichia_coli.k63	1.0	27_sshash_query	prophasm	23	na	Pos	1000000	3.24	0.70	2.53	99%	1707548	0	0	3.24931
escherichia_coli.k63.r_1.0.S_prophasm.k_23.d_na.t_Str	escherichia_coli.k63	1.0	27_sshash_query	prophasm	23	na	Str	2780000	3.85	0.58	3.25	99%	1707548	0	0	3.856688
escherichia_coli.k63.r_1.0.S_prophasm.k_31.d_na.t_Neg	escherichia_coli.k63	1.0	27_sshash_query	prophasm	31	na	Neg	1000000	3.83	0.41	3.40	99%	1224580	0	0	3.834963
escherichia_coli.k63.r_1.0.S_prophasm.k_31.d_na.t_Pos	escherichia_coli.k63	1.0	27_sshash_query	prophasm	31	na	Pos	1000000	3.39	0.44	2.94	99%	1224580	0	0	3.40062
escherichia_coli.k63.r_1.0.S_prophasm.k_31.d_na.t_Str	escherichia_coli.k63	1.0	27_sshash_query	prophasm	31	na	Str	2700000	5.05	0.33	4.72	99%	1224580	0	0	5.062125
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	15	na	Neg	1000000	1.19	0.01	1.17	99%	6968	0	0	1.199635
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	15	na	Pos	1000000	1.02	0.03	0.99	99%	6968	0	0	1.027896
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	23	na	Neg	1000000	1.89	0.01	1.88	99%	10860	0	0	1.900163
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	23	na	Pos	1000000	2.37	0.01	2.35	99%	10860	0	0	2.378634
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	31	na	Neg	1000000	1.83	0.02	1.81	99%	16392	0	0	1.844485
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	27_sshash_query	prophasm	31	na	Pos	1000000	2.27	0.00	2.26	99%	16392	0	0	2.274705
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_Neg	sars-cov-2_pangenome_k32	1.0	27_sshash_query	prophasm	15	na	Neg	1000000	1.03	0.02	1.01	99%	15016	0	0	1.042994
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_Pos	sars-cov-2_pangenome_k32	1.0	27_sshash_query	prophasm	15	na	Pos	1000000	0.92	0.02	0.90	99%	15016	0	0	0.931575
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_15.d_na.t_Str	sars-cov-2_pangenome_k32	1.0	27_sshash_query	prophasm	15	na	Str	2860000	2.77	0.01	2.76	99%	15016	0	0	2.782558
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_Neg	sars-cov-2_pangenome_k32	1.0	27_sshash_query	prophasm	23	na	Neg	1000000	1.53	0.02	1.50	99%	13892	0	0	1.543132
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_Pos	sars-cov-2_pangenome_k32	1.0	27_sshash_query	prophasm	23	na	Pos	1000000	3.02	0.01	3.00	99%	13892	0	0	3.026606
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_23.d_na.t_Str	sars-cov-2_pangenome_k32	1.0	27_sshash_query	prophasm	23	na	Str	2780000	13.59	0.00	13.58	99%	13892	0	0	13.601011
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_Neg	sars-cov-2_pangenome_k32	1.0	27_sshash_query	prophasm	31	na	Neg	1000000	1.64	0.01	1.63	99%	19700	0	0	1.653989
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_Pos	sars-cov-2_pangenome_k32	1.0	27_sshash_query	prophasm	31	na	Pos	1000000	2.38	0.01	2.36	99%	19700	0	0	2.386879
sars-cov-2_pangenome_k32.r_1.0.S_prophasm.k_31.d_na.t_Str	sars-cov-2_pangenome_k32	1.0	27_sshash_query	prophasm	31	na	Str	2700000	4.11	0.01	4.09	99%	19700	0	0	4.119759
spneumo_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_Neg	spneumo_pangenome_k32	0.1	27_sshash_query	prophasm	15	na	Neg	1000000	1.25	0.01	1.23	99%	8288	0	0	1.2594
spneumo_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_Pos	spneumo_pangenome_k32	0.1	27_sshash_query	prophasm	15	na	Pos	1000000	0.89	0.01	0.87	99%	8288	0	0	0.896389
spneumo_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_Neg	spneumo_pangenome_k32	0.1	27_sshash_query	prophasm	23	na	Neg	1000000	2.01	0.01	1.99	99%	11124	0	0	2.017836
spneumo_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_Pos	spneumo_pangenome_k32	0.1	27_sshash_query	prophasm	23	na	Pos	1000000	1.48	0.01	1.47	99%	11124	0	0	1.492971
spneumo_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_Neg	spneumo_pangenome_k32	0.1	27_sshash_query	prophasm	31	na	Neg	1000000	2.74	0.02	2.72	99%	13960	0	0	2.749581
